時間,コメント,予測値
103.028,対よろ頑張れ〜,0
103.96,やあ,0
104.528,やあ,0
106.437,豪華メンツやぁ！！！,0
106.868,がんばれー,0
107.083,対よろ,0
107.12,対ヨロ,0
107.798,リラックスしてがんばれー,0
109.032,わーい,0
109.916,葛葉とうんこちゃんが同じチームって昔じゃ考えられんかったなぁ,0
110.159, meiyかもです,0
110.462,がんばれー,0
110.584,がんばれ〜,0
110.62,頑張ってなー！,0
111.216,対よろ,0
111.2,対よろー,0
111.413,なんか静かだな,0
112.646,楽しみ！頑張って〜！,0
112.796,これ人見知り発動するか,0
112.829,Meiyやで,0
113.039,対よろ,0
116.025,対よろ！,0
117.616,Meiyさんやね,0
117.821,お前純来てから喋らんやん,0
117.826,コーチ名違うかも,0
118.199,葛葉、めいくんはaじゃなくてeや…！,0
118.096,がんばれー！！,0
119.118,yaa,0
120.152,ポメってる？,0
120.281,置くだけだしな,0
120.246,草,1
120.907,ｗｗ,1
120.918,葛葉緊張中,1
122.282,対よろ！楽しんでくれ！,0
122.602,やあ,0
122.846,応援してます,0
123.31,yaa,0
123.511,草,1
124.22,楽しみ！,0
124.731,葛葉さん頑張れ♡,0
125.089,草,1
125.435,加藤純一！？,0
126.429,Maiy,0
127.262,出先なので見れないけどふぁいと！！！！！！,0
127.91,面子楽しみすぎ！,0
128.11,草,1
128.306,んふふw,1
128.322,メンツえぐ,0
128.712,頑張れ～,0
128.875,対よろ,0
130.057,葛葉さんがんばれー٩(ˊᗜˋ*)و,0
130.037,Maiyさん？Meiyさん？,0
130.301,葛葉の声あげれる？,0
131.185,にょっす,0
131.346,草,1
132.092,やあ,0
132.502,meiy…,0
134.201,緊張してます,0
134.881,Meiy,0
134.989,浅いやつしかいないw,1
136.645,みんな楽しそうで最高だな,0
136.846,ふぁいてぃーん,0
137.161,衛門のおかた概要欄は見といてねー,0
139.158,喋れよ葛葉,0
139.412,対よろ,0
139.418,やぁ,0
140.974,これ登録者限定モードとかになってる？,1
140.937,いろいろがんばれw,1
142.179,ディスコありがとう～,0
142.415,頑張ってねー！๑'ω'๑,0
142.803,w,1
143.778,やあ,0
144.822,やあ,0
145.136,eやな,0
145.706,感謝,0
146.343,楽しんでくれー！,0
146.785,対よろ〜,0
147.062,草,1
148.152,どんなメンバーw,1
148.334,オーバーレイ感謝,0
148.707,よろしく,0
148.775,表示あざす,0
149.084,〜,0
150.131,今日がんばれ！,0
151.1,ディスコ助かる　感謝,0
152.139,もう勝った？,0
152.354,やあ,0
152.416,ダイヤ？,0
152.449,たのしんでねw,1
152.822,やあ,0
153.05,対よろ,0
153.146,どりゃああああああああ,0
153.793,めちゃめちゃ借りてきた猫,0
156.442,がんばれー,0
156.821,楽しんでねー！,0
156.974,めっちゃ緊張してるｗｗ,1
157.219,楽しみ〜！！！！！,0
157.479,対よろ!,0
161.002,あ,0
162.389,やあ,0
162.704,さすがに緊張してるか,0
162.765,葛葉、にょっす！,0
163.084,葛葉緊張中,1
164.695,名前誤字ってるかもしれん,0
164.716,やあ,0
165.034,楽しんでくれ〜ふぁいと！,0
165.06,衛門だけど頑張ってな,0
167.922,これ大丈夫か？w,1
167.968,ありがとうねぇ,0
168.006,感謝,0
168.216,にょっす,0
168.425,葛葉静かやね,0
168.599,がんばれー！,0
168.828,なる,0
169.089,がんばれ,0
169.286,eがaに…v,0
169.165,衛門がコメ欄いるのおもろw,0
169.709,i,0
169.842,頑張って,0
170.045,対よろ！,0
170.094,ディスコ感謝,0
170.186,ふぁいと〜！楽しんでね〜,0
170.216,最高に楽しみダァ！！,0
170.925,スイフト？,0
171.156,Swift？,0
171.543,激アツメンツすぎる,0
172.106,頑張れー,0
173.849,わくわく ふぁいとー！,0
175.218,わー楽しみだ,0
177.044,緊張するわー,0
177.57,にょっす,0
177.912,1回やるか,0
178.142,うおおおおおおおお,0
178.27,meiyさんじゃすぱーさん音量少し大きい,0
178.327,こんばんは〜,0
181.297,やあ,0
184.295,葛葉頼むぞ,0
184.467,がんばれー,0
184.566,緊張しないでー,0
184.724,がんばれー,0
184.816,ガチガチじゃん葛葉,0
185.352,やあ,0
185.393,がんばれ！,0
186.552,草,1
186.812,New member,0
186.885,ふぁいとー,0
187.184,純をよろしくな,0
188.857,楽しみや~,0
190.794,頑張れな,0
190.8,めいくん声でっかいか,0
190.991,このメンバーはさすがに人見知りなるよ,0
193.132,Meiyくんのディスコアイコンおもろ,0
193.683,やあ,0
194.132,頑張ってください！,0
194.403,あれw,1
196.013,あんまり話さないんですね,0
196.238,草,1
196.334,草,1
196.771,がんばろー！,0
196.853,がんばれ！,0
197.013,じゅにちさんいるやん,0
197.479,パワー,0
197.611,ん??,0
197.943,楽しみ！,0
198.206,あれｗ,1
198.413,あれｗ,1
198.555,草,1
198.578,関さんはゲームセンスだからな,0
198.964,草,1
200.131,対よろ,0
201.137,やあ,0
202.084,結局制限しないんだっけ？,0
202.097,やあ,0
202.468,にょっす,0
202.743,にょっす,0
202.776,草,1
203.456,ｶﾞﾝﾊﾞﾚｰ,0
204.662,にょっすw,1
204.818,おい葛葉静かじゃないか？？？,0
205.177,草,1
205.202,かっさんいるからって緊張すんな頑張れ,0
205.943,草,1
206.272,対よろ,0
206.446,にょっす,0
206.863,葛葉頑張れ,0
207.359,にょすにょすにょす,0
208.08,葛葉がんばれ！,0
208.096,がんばれくずは！,0
209.847,レジェンドいると緊張するな,0
210.807,くーちゃん静かで草,0
211.147,やあ,0
212.382,がんばれ,0
212.5,・,0
212.782,草,1
213.011,対よろ,0
213.171,お前が頼りだ！純を頼む！,0
216.267,ミュートになってますよ,0
216.728,ぼ、ど,0
216.978,緊張してる？,0
217.334,人見知り中です,0
217.539,です,0
217.536,にょっす,0
217.597,モデレーターさんよろしくお願いいたします,0
218.259,葛葉さんよろしくな,0
218.562,やあ,0
218.674,草,1
219.111,コーチeの方や,0
219.146,草,1
221.236,これは喋れんわw,1
221.337,いつも通り頑張れ,0
221.699,あ,0
222.008,草,1
222.533,蛆虫湧いてんなー,0
224.626,やあ,0
225.822,がんばれ！！！！！,0
225.901,にょっす,0
226.676,緊張なのか準備してるからなのか,0
229.066,がんばえー！,0
229.264,緊張してるか？笑,0
229.563,人見知りw,1
230.177,にょっす,0
231.579,くーちゃん大人しいねぇ,0
231.793,がんばれ！,0
232.3,どりゃ！,0
232.541,緊張してない？,0
233.017,この人が葛葉ですか?,0
233.152,頑張れ︎葛葉︎,1
233.862,にょっす,0
234.355,うんこちゃんキャリーすべ,0
234.455,草,1
235.217,くーちゃんがんばれ,0
235.64,草,1
235.848,なんか静かですね,0
235.925,マイさんって誰ですか？,0
236.43,にょっす,0
236.487,meiy3修正できるか？,1
236.524,静かｗ,1
237.173,もうあったまってる？,0
237.559,なんとか入れ,0
238.728,もっと喋ろ,0
240.432,コメ欄が予想通りすぎる,0
240.58,ボ、ドカ,0
240.841,人見知り出ちゃってすまにょ,0
241.0,さすがにか,0
242.27,緊張してそうw,1
242.424,頑張れ,0
242.816,すまん純いくわ,0
242.953,ww,1
243.69,いつ喋るんだ,0
244.02,がんばれ葛葉！！,0
244.644,やあ,0
245.022,ファイト,0
245.012,さすがに緊張するか,0
245.209,じゃすぱーさんと、加藤さんの音量デカめかも,0
245.571,がんっっばれ！！,0
245.572,緊張してるか,0
245.593,かわいいw,1
245.621,がんばれ,0
245.844,草,1
246.423,リラックスしてけ〜,1
246.45,頑張れー,0
246.699,葛葉静かやんw,1
246.79,あｗ,1
247.118,うおおお！！,0
247.795,vdk？,0
248.08,草,1
248.381,やあ,0
249.062,対よろ,0
249.827,今日は一段とコメントにぎやかだねぇ,0
249.92,マイさんって誰ですか？Meiyな,0
250.07,葛葉ミュート？,0
250.427,草,1
250.565,静かw,1
250.595,ww,1
250.833,草,1
251.057,ファンネル飛ばしまくりw,1
252.365,めいくん間違いやすいか,0
252.343,w,1
253.416,がんばえ,0
253.643,緊張してるやん,0
253.701,meiyかも,0
253.759,これチャット登録者モード？,1
253.868,やぁ,0
254.122,マイさんって誰ですか？Meiyな,0
254.837,緊張してます？,0
254.877,まばたき多くておもろい,0
254.952,おい緊張してんなあ？,0
256.951,葛葉「...」,0
258.414,がんばやで,0
258.465,やあ,0
258.697,がんばれ,0
258.768,コルチの名前違くね,0
258.842,頑張れ〜！,0
259.128,がんばれ〜,0
259.516,草,1
261.39,マイさんって誰ですか？Meiyな,0
261.513,メイくんのスペル間違っとるぞ,0
261.821,加藤さんいない？！,0
262.037,草,1
263.303,草,1
263.437,制限した方がいかも、、,0
263.577,人見知りかわいい,0
263.625,がんばれー！,0
263.973,対よろ,0
264.547,ナイス空気読み！,0
264.898,がんばれ,0
264.964,がんばれー葛葉さん,0
265.009,葛葉...いるか... ?,0
265.138,修正ナイス,0
267.327,がんばれーー,0
267.943,あ,0
267.995,vdk燃える,0
268.067,o,0
268.396,がんばれー,0
268.906,ふぁいと,0
269.556,めっちゃ緊張してるｗ,1
269.665,葛葉さんって静かな人なんですか？,0
269.696,なんで喋らないんだにょ,0
269.827,空気おいしい,0
270.161,頑張って,0
270.662,がんばれ〜！,0
271.028,どりゃあああ,0
271.034,修正よし,0
271.695,関さん焚き付けてる,0
271.758,みんな上手いやろー,0
272.012,コーチやね,0
272.753,葛葉静かで笑う,1
275.404,にょっす！,0
275.574,がんばれ,0
276.118,対よろ,0
277.065,楽しんでねー,0
277.417,修正ないす,0
277.488,人見知りしてるなw,1
277.703,がんばってください,0
277.976,がんばれ〜〜〜,0
278.419,こっちが緊張してきた,0
279.186,がんばれ葛葉,0
279.956,修正さんくす,0
280.005,Maiy→Meiy,0
280.039,スペルミスってるかも,0
280.916,うわあああああ,0
281.172,葛葉もモデもがんばれ！,0
281.634,Meiyやね,0
283.03,賢者タイムやろ,0
283.242,やああああ,0
283.578,修正あざっす,0
283.835,くーちゃんがんば、,0
284.006,葛葉がんばれ！,0
284.068,がんばれー,0
284.135,葛葉がんばれ！,0
284.137,がんばれー！,0
284.664,じゅんがすまにょ,0
285.55,五年登録してないけど、コメして大丈夫？,0
285.613,草,1
285.809,くずはー？,0
285.9,やあ,0
285.931,ｗｗ,1
286.263,対戦よろしくお願いします！,0
286.455,何ピックするかなぁ,0
286.962,Maiy→Meiy,0
287.665,がんばれよ,0
287.812,コーチ感謝,0
288.318,メンバー濃いな,0
288.383,更新したら名前直ったよ！,0
288.669,コメント制限した方がいいぞ,0
289.715,修正ナイス〜！,0
289.888,対よろ,0
290.55,ダイヤになってんだよねw,1
290.68,がんばれ,0
290.844,がんばれ〜！,0
291.707,コーチー,0
291.787,今日は楽しんでやー,0
292.741,あ,0
293.264,あ,0
293.67,草,1
293.951,加藤純一,0
294.68,やあ,0
294.869,え,0
294.933,義務相槌の葛葉,0
295.143,草,1
295.803,賢者タイムやん,0
295.825,葛葉緊張中！,0
297.632,Maiy→Meiy,0
298.685,いいねえ,0
300.047,修正なつ,0
300.596,うええええい,0
301.402,がんばぇえ,0
302.225,うれしいねぇ,0
302.699,アセしられてなかったのか,0
302.701,ふぁいてぃん〜,0
306.175,おおおおおおお,0
306.216,ｗｗ,1
306.884,そうなんよねー,0
306.883,賢者タイムすか,0
306.961,くずはー？緊張してんのかあー？,0
307.031,お,0
307.076,ドヤァ,0
307.418,ふぁいと～,0
307.894,いや草,1
308.479,おおおおおおww,0
308.546,草,1
308.849,草,1
308.868,草,1
308.97,草,1
309.179,うおおおおおおおおおおおおおおおおおおおおおおおおお,0
309.705,まじかww,1
309.882,草,1
310.444,ww,1
310.741,がんばってね！,0
310.784,えｗ,1
310.97,がんばれ〜,0
310.98,コメ欄盛り上がってきてていいねえ,0
311.015,草,1
311.072,おおお,0
311.09,え！,0
311.104,うおおおお,0
311.133,草,1
311.138,草,1
311.249,草,1
311.566,草,1
311.571,草,1
311.646,おおお,0
311.714,運ばせるw,1
311.788,草,1
311.855,草,1
311.921,草,1
311.97,草,1
312.235,草,1
312.243,あ,0
312.263,草,1
312.325,おおおｗ,1
312.331,草,1
312.454,草,1
312.505,草,1
312.604,まじかｗ,1
312.664,うおおおおおおおおおおおおおおおおおおおおおお,0
312.684,草,1
312.849,キャリー？！！,0
312.859,草,1
312.984,キャリー枠,0
313.303,運ばなきゃｗｗ,0
313.358,名指しマ？,0
314.076,おー,0
314.382,まっずw,1
314.444,草,1
314.621,こわいよ～；；,0
314.833,背負わされてんな,0
314.979,草,1
315.623,嬉しいねえ,0
317.058,草,1
319.3,プレえぐww,0
319.308,プレッシャーw,1
319.603,葛葉キャリーか,0
319.71,草,1
319.936,プレッシャーw,1
320.175,あーーーらw,1
320.189,あ,0
320.309,草,1
320.365,えぐ草,1
320.41,がんばれ！,0
320.493,嬉しいじゃん,0
320.532,草,1
320.697,まじかw,1
320.766,落ちたけどちゃんとアセ,0
321.075,キャリー枠ですか〜＾,0
321.086,衛門楽しんでいけな,0
321.88,期待されてるなぁw,1
321.964,がんばれー！！,0
322.867,わあ,0
324.384,w,1
324.622,嬉しいねぇ,0
324.864,プレッシャーだな～ｗ,1
325.608,背負え背負え,0
325.683,にょっす,0
326.054,いやっほおおおおおおおお,0
326.322,運転手なるかぁー！w,1
326.697,じゃすゲーやね,0
326.907,キャリー義務発生しちまったな,0
326.921,おい嬉しすぎるや,0
326.987,純を頼んだぞ,0
328.06,嬉しいね！,0
328.15,頑張れ,0
328.483,草,1
328.481,おとなしいの貴重,0
328.559,指名,0
329.065,こーれプレッシャーですw,1
329.205,やあ,0
329.374,楽しく頑張って,0
330.183,頑張れ～,0
330.559,うれしいね〜,0
330.711,じゃすぱー次第か,0
330.724,じゃっさんメンタル保って,0
332.436,か,0
333.087,がんばれー！,0
333.148,うおおおおおおお,0
333.852,キャリー枠なのか！？！！,0
333.929,プレッシャーえぐw,1
334.99,じゃすぱーリムジン,0
335.707,キャリーするしかねえ,0
335.799,うおおお頑張れ！,0
335.816,賢者タイムすか,0
336.503,草,1
336.637,対よろ,0
336.764,キャリー側なんだよねｗ,1
336.821,どしっときたぁぁぁ,0
336.951,期待されてんねぇ,0
337.593,がんばれええ,0
337.726,好かれてて良かったね,0
338.583,おっもいw,1
338.96,じゃす～？,0
338.985,擦り合ってて草,1
339.1,キャリーしろよ,0
339.152,キャリー義務発生！,0
339.208,じゃっさんが破壊するから,0
339.389,くずじゃすまじがんばれ！！！w,1
340.202,あ,0
341.376,がんばれ〜！,0
341.744,キャリーや,0
343.385,運んで差し上げろ,0
343.659,運転手なるか〜,1
344.163,草,1
344.328,チャットできるやん,0
344.4,草,1
344.642,嬉しいなあ,0
344.812,がんばれー,0
345.054,ｗｗ,1
346.263,じゃす>葛葉>関>=vdk？,0
346.698,じゃすぱー頼んだ,0
346.966,キャリー枠ですか^^,0
348.163,草,1
348.775,がんばれ！,0
348.836,草,1
349.127,笑顔のおっさんをキャリーしてやってくれ,0
349.124,じゃっさんやってくれはマジ,0
351.101,やるしかねぇ,0
351.474,訂正感謝,0
352.196,みんなで肩組もうぜ！,0
353.224,葛葉が背負うか？,0
353.601,草,1
353.911,普通にうまいやろーw,1
353.912,大御所２人悪いわあw,1
354.068,頑張れ〜,0
355.197,キャリー義務発生？,0
355.96,ヒットボックスで,0
356.715,関さんも久々や,0
357.512,やあ,0
358.208,草,1
360.527,トレモの関,0
362.007,コメできるやんよろしくねえ＾＾,0
362.675,対よろー,0
363.465,じゃすとバナーおそろで仲良しや,0
363.932,Maiy→Meiy,0
364.146,ドキドキや,0
365.717,スト６に囚われてる,0
366.055,葛葉今日静かすぎない？？,0
366.246,色々頑張れ！,0
366.761,がんばれ,0
368.636,くずはー？やれるかー？,0
369.014,vdkも汗やで,0
369.109,やぁ！！！！！！！,0
369.118,賢者タイムすか,0
371.191,ジャスと同じアイコンだ！,1
371.412,やぁ,0
371.512,葛葉さんがんばえ♡,0
371.565,がんばれぇええええ！,0
372.177,キャリーすんべ,0
372.295,がんばれー,0
372.877,キャリー枠ってコト,0
373.788,がんばれ！,0
376.465,緊張してる？,0
376.598,やあ,0
376.812,嬉しそう,0
377.189,ヒットボックスでVALO,0
378.063,ボドーか,0
378.68,～～～,0
379.777,加藤純一＞その他 な,0
380.074,じゃすくずキャリーTy,0
380.373,やあ,0
380.45,声がw,1
380.817,にょっす,0
380.951,やあ,0
381.148,やぁ,0
381.402,やぁ,0
382.277,じゅぴちゃんイジれ,1
382.758,緊張やね,0
382.92,がんばえー,0
382.984,加藤は昨日芋帯でやってたんだぞ！！,0
383.379,加藤純一と葛葉が並んでるよおおお！！,0
384.27,じゃすとバナー一緒だ,0
384.414,今日は頼むよ,0
384.486,あれずいぶんと静かだね,0
385.505,うあ～,0
385.57,がんばれー,0
386.191,がんばれ～,0
386.288,じゅんにもっと絡んでいいぞ！,0
386.825,衛門もどきは全部BANでいいぞ！,0
387.841,牛のやつはなんなん？,0
388.297,やあ,0
388.366,加藤純一最強！！！,0
388.396,ファイティン！,0
388.443,このチームスモーク誰やるん？,0
388.629,緊張とぅる,0
388.719,頑張れ〜,0
390.254,やあ,0
390.557,がんばれ,0
390.646,GOGOGO,0
390.854,やぁ,0
391.153,がんばれー！,0
391.182,にょっす！,0
391.192,くーちゃん,0
391.227,優しい,0
391.646,おい！お前やれるのか？,0
391.696,にょっす,0
391.759,葛葉っていつもこんな静かなの？？,0
392.104,がんばれ〜,0
392.815,バスの運転手きちゃ,0
393.298,借りてきた猫みたいになってて草,0
393.377,コメ欄のこの感じ久しぶりやな,0
393.952,頑張れ〜,0
394.1,がんばれ〜,0
394.498,じゃす頼りか一旦,0
394.746,練習頑張れ～！,0
394.821,やあ　今日よろしくね＾＾,0
395.114,頑張れー！,0
395.234,どりゃ！,0
395.41,やあ,0
395.422,やあ,0
395.686,連投はバンです＾＾,0
396.041,やあ,0
396.292,がんばれ,0
396.62,がんばれ〜,0
397.059,お前じゅんの悪口言ったらしいな？,0
397.101,あれｗ,1
399.894,【緊張&人見知り発動中】,0
400.102,がんば！,0
400.704,じゃすとアイコンおなじなんだなｗ,1
400.968,ふぁいてぃん！！！,0
401.107,緊張しすぎw,1
401.324,にょにょ!,0
401.634,やあ,0
402.488,ボドカ久しぶりで嬉しいな,0
402.928,がんばれ～,0
403.069,一旦ね,0
403.199,モデいるのか？,0
403.722,楽しみ,0
404.067,がんば～,0
404.226,がんばれー！,0
404.314,にょっす,0
404.39,やあ,0
404.429,ふぁいてぃん,0
405.278,緊張するな,0
405.748,頑張れ〜,0
405.897,安定で荒らされてて草,0
406.024,がんばれー！,0
406.095,ふぁいてぃん！,0
406.79,頑張れー！,0
406.875,今日賑やかになるな,0
407.162,にょっすにょっす,0
407.196,がんばれ〜,0
407.274,くずは頑張れ！！,0
407.789,俺がやる,1
407.945,にょっす,0
409.792,楽しんでけ~,0
409.945,スカイ～！,0
410.216,スカイよね,0
410.394,れちごー！,0
410.51,にょっす,0
412.404,火畜のみんな今日はよろしくね〜,0
412.367,ふぁいてぃん！,0
412.586,コメ欄温まってていいね,0
412.594,くーちゃん緊張してるー？,0
412.817,がんばー,0
412.864,関さんと懐かしいから嬉しい,0
412.966,にょっす,0
414.541,スカイ株式会社いっぞ,0
414.577,にょっすにょっすにょっす,0
414.963,がんばれー,0
415.034,スカイだ〜,0
415.176,コメント賑やかでいいねえ,0
415.64,対よろ！！,0
415.932,ふぁいてぃーん！,0
416.72,がんばえー,0
417.398,ふぁいてぃん！,0
417.496,まあ普通に緊張するわな,0
417.556,株式会社,0
417.83,がんばれ,0
417.931,楽しめよ〜,0
417.952,ふぁいてぃん,0
418.087,がんばれ〜,0
418.138,スカイきちゃーーー,0
418.158,メイ君若いのにこの中でしっかり話せるのすごいな,0
418.563,がんばて〜,0
418.827,スカイよなぁ,0
418.945,まースカイだな！,0
419.09,にょ、にょまれ〜！,0
420.6,葛葉はスカイだよなー一旦,0
420.749,そういう概念だからしゃーない,0
421.01,メイ君頼む,0
421.528,にょっす,0
421.724,にょ,0
421.874,スカイうおおおおおおおお,0
422.774,ずはー？,0
422.941,葛葉！！がんばれ,0
423.101,よろしくねぇ,0
423.134,ふぁいてぃんふぁいてぃん〜,0
423.673,モデレーターさん頑張ってください〜,0
423.81,楽しんでこ〜,0
423.923,やあ＾＾,0
424.004,がんばれー！,0
424.114,連投はBANされるかもしれんから気をつけろよ！,0
424.479,楽しめなw,1
424.646,皆んなやあ,0
424.715,がんばれー,0
424.758,Maiy→Meiy,0
425.032,やっぱりスカイよね,0
425.166,がんばれ〜！,0
426.226,がんばれ～,0
426.23,衛門のこと優しく迎えてくれ,0
426.416,ええええええええ,0
426.459,ふぁいてぃん！,0
427.074,やっぱスカイよねー,0
427.077,がんばれー！,0
427.563,にょっす！は挨拶やんけ,0
427.579,マジでVtuber見てないけど、応援するから頑張れな,0
427.887,スカイきちゃ,0
428.852,真面目なピックだ,0
429.138,ふぁいと,0
430.022,うおおおおおおおおおおおおおお,0
430.144,やあ＾＾,0
430.221,ふぁいてぃーん,0
430.24,がんばれー！！,0
430.678,がんばって,0
430.813,がんばれ〜！,0
431.011,がんばれ〜！,0
431.126,がんばー,0
431.428,賑やかだなw,1
431.503,ファイティーン！！,0
431.692,まぁこっからあったまるよ,0
431.909,がんばれ！！,0
432.903,ｗｗ,1
433.868,にょっす,0
433.978,大人しく観ようねみんな！楽しんでこ！！,0
433.954,なしｗ,0
433.991,頑張れ～,0
433.997,がんばれー！！,0
434.194,がんばれ！,0
434.261,スカイだー！！,1
434.342,楽しんでね,0
434.393,なしなんだｗ,1
434.769,もうこの感じ慣れたから荒れてる感じせんわw,1
434.884,衛門達きたw,1
435.02,よろ,0
435.147,無しかあｗ,1
435.197,なしなんだw,1
435.602,安定のスカイ,0
435.61,対よろ！,0
435.617,がんばれー！,0
435.966,がんばえ～！,0
436.018,無しかぁw,1
436.023,きっぱり,0
436.124,ふぁいてぃん！,0
436.242,がんばれ~,0
436.819,いい絵被ってんね,0
437.124,にょっす,0
437.8,ばっさりw,1
438.385,今日は賑やかでもええやろ,0
438.404,無しです,0
438.701,なしですこれ,0
438.78,やあ＾＾、,0
438.82,ファイト,0
438.988,無しかｗ,1
439.035,チェンなしなんだ,0
439.231,がんばれ～!,0
440.264,チェンさん；；；,0
440.326,草,1
440.347,うんこちゃんと一緒で緊張してる,0
440.357,草,1
440.937,弱いか…,0
441.209,チェンバー；；,0
442.733,なしなんかw,1
442.952,草,1
443.115,チェンバーなしなんやw,1
443.386,がんばれー！,0
443.642,がんばれー！！,0
444.143,ああｗ,1
444.342,チェンさん；；,0
444.457,コーチのVC大きい,0
444.742,登録者のみにしてほしいわ…w,1
444.803,衛門とエセ衛門が混じっとるな,0
444.941,チェンさん駄目なんだ,0
445.039,ふぁいとおおおおおおお！！！,0
445.059,がんばれー！,0
447.869,最強メンツ,0
448.182,破壊してしまうか？,0
448.984,チェンバーくん...,0
449.027,葛葉頑張れー!モデレーターさんも頑張れー!,0
449.707,にょっす,0
450.219,がんばれー！,0
450.864,?????,0
452.321,やっぱりかｗ,1
453.144,だめかチェンバー,0
453.492,チェンさん；；,0
453.599,ズバァッ！！,0
453.599,チェンさん…,0
454.28,構成これでいんじゃね？w,1
454.709,チェンさん,0
455.132,なしか…w,1
455.171,人間の葛葉さんやぁ,0
455.159,始まればすぐ緊張溶けるから葛葉なら大丈夫,0
455.141,こん〜,0
455.418,チェンさん,0
455.683,言ってるだけか,0
455.88,コーチww,1
455.991,マジの衛門は高評価押して帰るぞ,0
456.012,今日ちょっと印象悪いかww,1
456.262,緊張してるらしいな,0
456.28,コメ欄全然荒れてないよ賑やかなだけ,0
457.19,やあ,0
457.415,ふぁいてぃ〜ん,0
457.602,ふぁいてぃーん！,0
457.713,まこう,0
457.773,スカイでキャリーするかあ,0
458.23,緊張してるな,0
458.385,葛葉がんばれ,0
458.509,チェンさんあかんか,0
458.657,チェンさん；；,0
458.871,思ったより荒れてないな,0
459.42,ケイオーやめた？,0
459.485,楽しみやぁ！！,0
459.981,がんば,0
460.679,適当なんだｗ,1
460.679,感謝,0
460.9,めいくん今日CRのスタジオかどっか居んのかな,0
462.557,かみと。さん。,0
463.94,加藤純一さんいる,0
464.057,すまにょ,0
464.74,こるちかっこいい,0
464.874,ロックマンよりマシだw,1
466.405,こん〜,0
466.486,葛葉がんばれ！,0
466.566,がんばれー！,0
467.098,すまにょ,0
467.378,めいさんのスペルミスってるかも！タイトル,0
468.103,適当なんだ,0
468.668,対よろ！！がんばれ！！,0
468.925,葛葉がんば～,0
469.059,良さげじゃないか？,0
469.962,今日はいつものいじりできてなくてすまにょ,0
470.088,自治無しで衛門とは仲良くいこう,0
470.756,そうやったんか…,0
472.461,楽しんでー,0
473.042,これで荒れてるってただ挨拶してるだけやん,0
473.727,お,0
474.036,おおお,0
474.229,荒らしちゃってすまにょ,0
474.245,人間の葛葉,0
474.701,おー,0
475.388,純いくわ,0
475.408,おお,0
476.191,お〜,0
476.47,おお,0
476.539,おお！！,0
476.553,いいねー！,0
