時間,コメント,ラベル,,
155.696,合わせたんじゃないの？？！,0,,
155.774,タイトルシンクロは見たことないww,1,,
156.731,すご,0,,
157.516,偶然なん！？w,1,,
157.58,おもろw,1,,
157.631,偶然なのww,1,,
157.739,いよいよ1つになるか,0,,
158.753,草,1,,
161.039,すげぇw,1,,
161.325,仲よし～！,0,,
161.347,揃えたと思った笑,0,,
161.784,通じ方やばいw,1,,
161.926,草,1,,
163.412,合わせたわけじゃないのすご,0,,
164.282,思考が似通ってるw,1,,
164.902,一緒にした訳じゃなかったんw,1,,
165.085,シンクロ率100％,0,,
165.409,すご,0,,
165.548,すご,0,,
165.577,たまたま！？,0,,
165.872,すげー,0,,
165.926,いよいよ同一化かw,1,,
165.935,脳みそ一緒やん,0,,
165.944,偶然！？,0,,
166.086,草,1,,
166.338,シンクロｗ,0,,
166.389,すごw,1,,
166.43,すげぇw,1,,
166.597,とんでもねえな,0,,
166.69,奇跡w,1,,
166.773,えが大きさ違う,0,,
167.499,いよいよそこまで似てきたか,0,,
167.549,たまたまなの草,0,,
167.787,偶然なんかw,1,,
168.265,前も同じタイトルだったしなｗ,0,,
168.296,おめでとう！,0,,
168.87,偶然だったのね,0,,
168.918,あたま一緒や,0,,
169.04,すげえw,1,,
169.271,同一人物疑惑,0,,
169.286,すごいw,1,,
169.605,奇跡w,1,,
170.021,わざとじゃなかったの！？！？,0,,
171.229,コピーされてきてる,0,,
172.875,合わせたのかと思ってた,0,,
173.167,偶然なのかw,1,,
173.214,対よろ,0,,
173.694,偶然やば,0,,
174.308,さすが兄弟や,0,,
174.432,合わせたのかと思ってたw,1,,
174.438,さすがすぎw,1,,
174.783,ほぼビンゴだよ,0,,
175.04,すごw,1,,
175.074,にゃあーw,1,,
175.41,すご,0,,
175.739,えのサイズも違う,0,,
175.877,そろえたんだと思ってた,0,,
176.043,どうなっとる？,0,,
177.267,揃えたんじゃないんか……こえぇよ,0,,
177.243,まあそれもすごｗ,0,,
177.303,合わせたのかと思ったwすごい！！,1,,
177.637,思考いっしょw,1,,
177.699,草,1,,
178.482,合わせてるとおもった,0,,
179.822,ニアピンか,0,,
180.311,すごすぎるw,1,,
180.866,仲良し,0,,
180.879,すごw,1,,
181.003,怖いよｗ,0,,
181.049,フルシンクロや,0,,
181.195,仲良すぎや,0,,
181.237,若干違うのがリアルですごいww,1,,
181.421,すごいw,1,,
181.422,漢字一緒じゃないのリアルだわ,0,,
181.681,対よろ,0,,
181.68,ﾍｱｧ,0,,
181.958,すご,0,,
182.277,すご,0,,
182.374,ディスティニータイトル,0,,
183.131,草,1,,
183.196,口癖四天王の最終地点（脳みそ一つ）も近いか,0,,
183.306,多分色々偶然一緒になってることある,0,,
183.314,タイトル合わせたんじゃないんだw,1,,
183.489,誤差,0,,
183.761,草,1,,
184.434,言語やが,0,,
184.479,うおおおおおおおお,0,,
185.374,まじでおなじうける,0,,
185.834,てぇてぇ,0,,
186.917,かよちゃんはまずい,0,,
187.733,座る場所移動お願いいたしますm(_ _)m,0,,
187.919,合わせてるのかと思ったw,1,,
188.587,ぷわジェットか？,0,,
188.957,仲良しw,1,,
188.991,VC小さ目かもです,0,,
189.056,対よろ,0,,
189.609,口癖四天王は一つ,0,,
190.168,そんなのねぇよ。,0,,
191.975,すげえw,1,,
192.25,対よろ,0,,
193.53,普段…？,0,,
194.664,今日遅延なし？,0,,
195.918,普段なんてねぇよ♪,0,,
195.932,みらいさんw,1,,
196.035,最近まじでずっと一緒やなそういや,0,,
196.037,みらいさん,0,,
197.418,未来さんw,1,,
197.732,スカイでしょ,0,,
197.772,シンクロすぎて草,0,,
198.296,未來さん,0,,
198.579,ぷわのデュエではこれ,0,,
200.346,未来さん,0,,
200.712,拳こそが正義,0,,
203.83,未来さんw,1,,
208.689,あたるわけねえよ　うるせえよ,0,,
210.047,前ブリきちゃ,0,,
211.085,草,1,,
212.792,対よろ〜！,0,,
212.844,ファイティーン,0,,
217.322,草,1,,
217.595,草,1,,
217.623,KO実際ムズイ,0,,
218.715,草,1,,
219.779,スカイじゃなくて大丈夫そ？,0,,
219.863,草,1,,
220.173,弾当たるわけねぇだろカスタム感謝,0,,
221.307,なぜw,1,,
222.24,草,1,,
222.552,Koは実質ロックマンか,0,,
223.206,どういうことだってばよ,0,,
223.4,逆にｗ,0,,
224.346,ぷわじぇっとだ,0,,
224.883,かよちゃんファイティン,0,,
225.194,草,1,,
225.173,草,1,,
225.34,マイナスかけるマイナスはプラス,0,,
225.435,葛葉前も弾あたるわけねえだろだっだよね,0,,
225.778,この面子嬉しい,0,,
227.109,半端だけどKay/O～！,0,,
228.192,頑張れ,0,,
228.236,ワチャワチャで楽しそう,0,,
229.341,ならスカイの方がww,1,,
229.494,座る場所右に︎,0,,
229.993,ソヴァじゃないんや,0,,
229.996,草,1,,
230.136,逆にねｗｗ,0,,
230.878,草,1,,
231.486,草,1,,
231.681,あらw,1,,
232.55,かよちゃふぁいてぃん,0,,
232.942,大丈夫かｗ,0,,
233.204,草,1,,
233.384,ちょめ,0,,
233.431,おお,0,,
233.905,そんなにww,1,,
235.354,おお,0,,
235.912,そんな当たらんのｗ,0,,
237.505,おお,0,,
237.538,渡会ー,0,,
239.015,がんばれー,0,,
239.227,ずっと触ってるのえら,0,,
241.097,ならかまんキャリー,0,,
241.331,背中でけえ,0,,
241.583,下手の二乗だが,0,,
242.441,_KuzuhaSuke,0,,
244.742,対よろ,0,,
245.215,がんばれ！！,0,,
245.548,ちょめえ,0,,
245.546,ふぁいてぃん！,0,,
247.408,がんばれ！,0,,
247.636,がんばれ～,0,,
247.825,ko似てるもんな岩男に,0,,
248.694,未来人の声ちょっと大きい？気のせい？,0,,
249.896,がんばれー,0,,
251.409,にゃらか任せた！,0,,
252.287,わいわいカスタムだから楽しくやれればいいのよ～,0,,
252.834,がんばれー！,0,,
253.256,奈羅花ママ,0,,
253.513,ロー、レンは・・・,0,,
255.003,がんばれ！,0,,
255.919,対よろ,0,,
255.934,がんばれ～！,0,,
257.505,がんばれ〜,0,,
257.867,声でかw,1,,
257.948,がんばれー,0,,
258.827,ファイティン,0,,
259.374,がんばれ〜,0,,
260.149,にゃらかが調子いいなら勝ちですやったー！,0,,
260.944,ふぁいてぃーん！,0,,
261.193,頑張れ〜！,0,,
261.166,がんばれ,0,,
262.184,がんばれ〜！,0,,
262.25,ええ？,0,,
262.934,草,1,,
263.178,わちゃわちゃいいね,0,,
264.203,ふぁいてぃーん,0,,
264.479,草,1,,
264.508,ふぁいてぃんー,0,,
264.539,ならか声小さいろ,0,,
264.58,草,1,,
267.23,ふぁいてぃん,0,,
270.354,もめーん,0,,
271.119,ふぁいてぃん！,0,,
271.179,にゃらかキャリーか,0,,
271.194,AQFメンツ揃ってる,0,,
271.717,がんばれ～！,0,,
273.219,草,1,,
274.289,やばいw,1,,
274.501,何したら勝ちなんだ？このゲーム,0,,
275.357,ふぁいてぃーん！,0,,
280.744,草,1,,
281.023,そめーんｎ,0,,
281.447,ヒバの声きこえない？喋ってないだけか？,0,,
281.597,ファイトー,0,,
281.603,ふぁいてぃーん,0,,
282.747,ggjy vai qqee não tem como vc ter que não tem,0,,
283.186,草,1,,
285.406,塊魂は神ゲー,0,,
285.685,ならかさんすでにお母さんみたいw,1,,
285.697,概要欄にABO2人いるな,0,,
287.603,ふぁいてぃん〜〜！,0,,
289.128,なっつ,0,,
289.096,ゲーム音が小さいかも,0,,
289.495,対よろ！,0,,
291.802,塊魂は神ゲー,0,,
293,あれは神ゲー,0,,
293.016,かたまり、かたまる,0,,
293.464,がんばれ〜,0,,
293.869,おもろいよな！,0,,
294.39,やってたねw,1,,
294.814,塊魂マジで神ゲー,0,,
296.439,FPS離れてるw,1,,
296.579,頑張れ〜,0,,
296.722,塊魂w,1,,
298.591,ひばの声ないな,0,,
300.002,たいよろー,0,,
300.004,ヒバくん音ちっちゃいのかな？,0,,
301.337,がんばれ～,0,,
301.402,ローレンはローレンはローレンはローレンはローレンはどこーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー,0,,
302.092,ならかおかあたん,0,,
302.553,葛葉ファイティ～ン,0,,
303.125,あれ、コピーダメージ入ってなくね？,0,,
305.825,w,1,,
305.962,がんばれ！,0,,
306.375,草,1,,
308.296,おせぇw,1,,
308.4,塊魂やってほしいわー,0,,
308.723,塊魂シュールですき,0,,
308.753,がんばれー,0,,
308.87,いけえ,0,,
311.143,頑張れ〜,0,,
313.836,ちっかｗ,0,,
317.102,がんばれ〜！,0,,
317.595,ナイスゥ,0,,
317.94,ないす,0,,
318.661,がんばえ,0,,
319.112,草,1,,
321.76,ナイスゥ,0,,
321.939,ナイス,0,,
322.687,ないす,0,,
322.739,pro siak,0,,
322.973,ナイス,0,,
325.837,ナイスゥ,0,,
326.018,ナイス,0,,
327.021,ナイス,0,,
328.554,ナイス,0,,
328.554,ナイフどこいった？,0,,
329.162,ないす,0,,
329.431,ないすぅ！,0,,
331.41,ナイス設置,0,,
333.634,ナイス,0,,
333.716,頑張れー！,0,,
336.331,ナイス,0,,
337.597,にゃらか元気いっぱいで可愛いなｗｗ,0,,
339.906,草,1,,
339.895,ナイスゥ,1,,
340.249,草,1,,
341.212,草,1,,
341.267,あw,1,,
341.506,草,1,,
343.215,がんばれ〜,1,,
343.891,草,1,,
344.212,ナイス,1,,
344.266,GO,1,,
344.265,草,1,,
344.617,草,1,,
344.644,草,1,,
344.69,草,1,,
345.034,ｗｗ,1,,
345.203,なにが起きてる？？,1,,
345.543,草,1,,
345.654,ww,1,,
345.733,ナイスゥ！,1,,
345.745,草,1,,
345.891,草,1,,
345.942,草,1,,
346.661,草,1,,
346.693,草,1,,
346.749,草,1,,
347.125,草,1,,
347.21,草,1,,
347.569,草,1,,
347.669,草,1,,
347.658,w,1,,
347.732,草,1,,
347.961,nt,0,,
348.827,草,1,,
349.247,草,1,,
349.849,何が起きたw,1,,
350.27,草,1,,
350.966,草,1,,
352.161,ひばのVC音量上げてほしいです,0,,
353.384,エイム終わってるかw,1,,
353.403,草,1,,
353.548,草,1,,
353.763,草,1,,
353.852,まじでｗ,1,,
356.493,なんも聞こえてねえw,1,,
356.58,草,1,,
357.31,何今のw,1,,
357.481,まじで小さいw,1,,
357.735,草,1,,
357.792,草,1,,
358.017,音小さいw,1,,
358.476,w,1,,
358.483,草,1,,
358.523,草,1,,
358.535,草,1,,
358.596,わちゃわちゃ,1,,
358.616,わちゃわちゃ,1,,
358.792,草,1,,
358.83,qq,0,,
358.928,草,1,,
359.109,草,1,,
359.181,きこえないw,1,,
359.672,まるで仲間w,1,,
359.707,たまがあ,1,,
360.183,今のなにww,1,,
360.505,草,1,,
360.553,上手くね？笑,1,,
361.701,草,1,,
361.878,草,1,,
362.368,草,1,,
362.55,草,1,,
363.136,がんばれ,0,,
363.335,ラグーザコールｗ,1,,
363.482,草,1,,
363.664,渡会くんの声小さいかも,0,,
363.822,どうした？,0,,
365.553,タイトル回収,1,,
365.763,ほんとにちっちゃくて草,1,,
365.856,ちっさｗ,1,,
369.314,敵陣に囲まれてたw,1,,
369.678,せやなw,1,,
369.793,おもろプレイきちゃｗ,0,,
371.949,もうおもろい,0,,
374.016,がんばれ！,0,,
375.243,草,1,,
376.624,まじおもろすぎ,0,,
377.564,まるで仲間,0,,
378.264,まだ小さいかも(´・ω・｀),0,,
379.825,タイトル回収はやすぎたw,1,,
380.845,渡会くん小さめかも,0,,
382.312,オーメンシェリフえぐいｗ,0,,
382.53,弾当たらなさすぎて諦めてたしなww,1,,
383.183,当たんないんだよ,0,,
383.807,雲雀さんの声小さいかもです,0,,
384.459,おもろい,0,,
384.558,渡会さんミュート？,0,,
384.793,草,1,,
385.986,なんの音もなかったないまの,0,,
386.057,敵に囲まれてたw,1,,
389.094,草,1,,
389.137,草,1,,
389.602,ナイフ持ってるKOいるわオーメン後ろ向いてるわｗ,0,,
392.42,本気って何w,1,,
392.622,T1のエコ真似すべ,0,,
393.671,ww,1,,
393.832,最強エコ部隊Ｔ１ね,0,,
394.086,ヒバくんちっちゃいっていうかなんか知らんけど左から聞こえる気がする,0,,
396.167,一旦タイトル回収あざす,0,,
396.246,れちご,0,,
396.359,w,1,,
397.586,おか,0,,
399.702,れちご,1,,
399.824,どまw,1,,
401.43,れちごー,1,,
401.562,久々で弾当たってなかった,1,,
401.684,草,1,,
402.645,ww,1,,
403.237,やばｗｗ,1,,
403.517,草,1,,
403.834,草,1,,
405.457,当たらんw,1,,
405.765,草,1,,
405.945,沼w,1,,
406.552,あたんねぇｗ,1,,
406.668,どまｗ,1,,
407.061,れちご,1,,
407.092,0!?,1,,
407.108,さすがに神エイムかも,1,,
407.21,今日すごいかw,1,,
407.276,草,1,,
407.286,あたるわけねえだろ,1,,
407.533,1発も当たってなくて草,1,,
407.565,草,1,,
407.55,0w,1,,
407.625,神エイムうおおおおおおお,1,,
407.754,草,1,,
408.184,紙エイムきた,1,,
408.303,草,1,,
408.47,ゲーム音ちっさ なの草,1,,
408.524,マジでタイトル回収w,1,,
409.128,神エイムすぎた,1,,
409.198,りりむに撃ち負けたw,1,,
409.708,ww,1,,
409.943,れちご,1,,
410.453,まさかの0,1,,
411.251,ドローンがww,1,,
411.311,ほんとにやばそうww,1,,
411.571,ほんとに当たってねえ,1,,
411.733,沼,1,,
412.106,ぜ、ゼロ！？,1,,
412.176,0…だと？,1,,
413.453,れちごー,1,,
414.398,れちごー,1,,
414.815,撃ち方ウィングマンやんw,1,,
415.896,あたるわけねえだろ,1,,
416.15,ゼロw,1,,
416.217,草,1,,
417.373,タイトル回収ｗ,1,,
418.76,沼w,1,,
419.2,一枚側あんたやw,1,,
419.432,マジでふわっちの共鳴率がたっけえ,1,,
419.656,omg,1,,
419.768,どま,1,,
420.948,弾あたるわけねえだろ！,1,,
422.679,タイトルに偽りなしで草,1,,
423.019,対よろ,1,,
423.344,わっちゃわちゃｗｗ,1,,
423.458,うるせw,1,,
423.737,草,1,,
425.026,わちゃわちゃw,1,,
425.129,草,1,,
425.166,わちゃわちゃだぁ,1,,
425.368,わちゃわちゃw,1,,
425.578,神すぎ,1,,
425.659,草,1,,
425.662,草,1,,
426.315,今日凄いぞー,1,,
426.322,当たるわけねえだろカスタム,1,,
426.483,わちゃわちゃｗｗ,1,,
426.649,草,1,,
427.033,カスタム名通りだあああ,1,,
427.148,草,1,,
427.368,草,1,,
427.526,混乱してるw,1,,
427.553,わちゃわちゃすぎる,1,,
427.677,ww,1,,
427.78,やばすぎだｗ,1,,
427.784,わあw,1,,
428.413,huwattino,1,,
428.39,戦場すぎるw,1,,
428.766,草,1,,
428.953,草,1,,
429.138,ひばだけ声ちっちぇか,1,,
429.159,わちゃわちゃ,1,,
429.507,草,1,,
429.561,草,1,,
429.828,草,1,,
429.9,草,1,,
429.966,草,1,,
430.047,ｗ,1,,
430.122,草,1,,
430.81,ww,1,,
431.425,草,1,,
431.469,うぎゃあw,1,,
431.474,めっちやくちゃｗ,1,,
431.548,一旦タイトル通りか,1,,
431.605,草,1,,
431.7,草,1,,
432.849,草,1,,
433.842,草,1,,
434.145,賑やかね,1,,
434.141,わっちゃわちゃで草,1,,
434.21,w,1,,
434.371,わちゃわちゃ最高,1,,
434.549,草,1,,
435.532,わちゃわちゃ,1,,
435.726,わちゃわちゃだw,1,,
435.759,なんだこれw,1,,
436.62,楽しそうｗ,1,,
436.852,ww,1,,
436.918,草,1,,
437.009,いったんタイトル回収かｗ,1,,
437.565,草,1,,
437.628,草,1,,
438.075,わちゃわちゃw,1,,
438.646,死ぬw,1,,
439.004,草,1,,
439.091,すごいなｗ,1,,
439.516,草,1,,
439.698,わちゃわちゃw,1,,
440.326,草,1,,
440.362,ぱにっくw,1,,
440.913,たのしw,1,,
441.287,わちゃわちゃだあ！,0,,
442.182,お腹いたいw,1,,
442.508,おもろすぎ,0,,
442.633,草,1,,
442.906,タイトル回収,0,,
443.634,たいよ,0,,
443.758,わちゃわちゃで草,0,,
445.018,タイトル回収かw,1,,
445.452,打ち方ロックマンで草,0,,
445.467,なんかひばの声聞こずらいかも,0,,
446.578,弾当たるわけねえだろ,0,,
446.739,タイトル詐欺じゃなかった,0,,
447.105,タイトル通りw,1,,
447.382,タイトル回収ヨシ,0,,
447.449,草,1,,
447.577,草,1,,
448.616,ww,1,,
449.765,タイトル回収早いな,0,,
449.804,おもしろすぎ,0,,
451.148,タイトルさっそく回収してて草,0,,
451.48,ガチ当たらんカスタムきちゃった,0,,
451.779,だれぇ？ｗ,0,,
451.804,タイトル通りだ！！,0,,
453.209,2人ともタイトル回収早め,0,,
453.703,音量バランスえぎぃｗ,0,,
453.825,このチームやべぇw,1,,
453.916,草,1,,
456.644,渡会くんの声が小さいかも,0,,
456.98,タイトル詐欺じゃなくて安心しました,0,,
457.316,おもろいｗ,0,,
457.434,草,1,,
457.709,valoranterきた,0,,
457.83,当たるわけねえだろカスタムw,1,,
459.847,タイトル回収あざす,0,,
461.4,がんばれ！,0,,
462.917,楽しそうでなにより,0,,
463.764,ふわずはタイトル回収ヨシ,0,,
464.315,ひばさん声小さいか,0,,
464.77,草,1,,
465.787,別にね,0,,
466.137,こんばんは！！,0,,
467.47,リハビリで草,0,,
471.39,タイトル詐欺じゃなかったか,0,,
471.454,タイトル詐欺じゃなくて助かる,0,,
471.474,タイトルに忠実w,1,,
472.128,owはいいぞ！,1,,
472.629,一旦タイトル通りか,0,,
473.696,草,1,,
474.415,なんでｗ,0,,
474.484,草,1,,
474.439,草,1,,
474.523,草,1,,
474.759,わたひば声ちっちゃめか,0,,
474.908,owに変える？w,1,,
475.378,草,1,,
475.431,草,1,,
475.432,草,1,,
476.552,草,1,,
477.039,草,1,,
477.192,w,1,,
477.563,草,1,,
478.812,タイトル回収たすかる,0,,
479.572,まさかのＯＷ提案ｗｗ,0,,
480.167,ww,1,,
481.245,ゲーム変更草,0,,
482.418,草,1,,
482.725,揃ってはいるな,0,,
483.686,始ったばかりなのにｗ,0,,
484.013,草,1,,
484.55,草,1,,
487.668,タイトル回収草,0,,
490.721,草,1,,
491.099,にゃらかの対面どうすんだｗ,0,,
494.458,ナイスゥ,0,,
495.824,ならか乗り気なんおもろい,0,,
495.812,音量バランスすっごいｗｗ,0,,
496.017,ないす,0,,
498.235,やりたいもの多いのいいね,0,,
498.48,ナイスゥ！,0,,
499.274,ナイスゥ,0,,
499.468,ないす！,0,,
499.586,ナイスゥ！,0,,
499.922,ナイス,0,,
500.344,ナイス,0,,
501.164,ナイス,0,,
501.6,ww,1,,
501.825,草,1,,
502.035,草,1,,
502.316,草,1,,
502.932,今ジャンカークイーンが一強やぞ,0,,
503.235,ナイス,0,,
503.44,ﾘｭｳｼﾞﾝﾉｹﾝｦｸﾗｴ！,0,,
504.551,やった当たったw,1,,
505.174,草,1,,
507.516,ナイス,0,,
509.215,ナイス,0,,
509.84,草,1,,
510.349,草,1,,
510.314,おみくじ,0,,
511.55,ナイス,0,,
512.91,葛葉ゲッコー使ってくれんかなぁ,0,,
515.526,もう10時だしね,0,,
517.105,やっと当たったｗ,0,,
518.702,ナイスゥ,0,,
518.961,ナイス！,0,,
519.74,おおw,1,,
520.336,ラッキーヒット草,0,,
521.844,ナイスゥ,0,,
521.892,i want a whie one not a black,1,,
521.979,おおw,1,,
522.087,ナイスゥ！,0,,
522.1,おおおお,0,,
522.392,！？,0,,
522.494,草,1,,
523.017,ナイス！ｗ,0,,
523.117,なんでw,1,,
523.849,草,1,,
523.978,ないすぅ,0,,
524.078,草,1,,
525.023,おみあいw,1,,
525.874,ナイスー！,0,,
525.88,！？,0,,
526.504,ナイスゥ,0,,
526.781,ナイスー！,0,,
526.886,ナイスゥ,0,,
526.953,ないすー！,0,,
527.124,なんだいまのｗ,0,,
527.288,！？,0,,
527.526,つよーい,0,,
527.652,ナイスゥ,0,,
527.773,！？,0,,
527.86,草,1,,
528.038,ふわち元気だなww,1,,
528.105,ないすー,0,,
528.705,ナイスゥ,0,,
528.857,ナイス！,0,,
528.942,草,1,,
528.951,ナイスゥ,0,,
528.97,ないすうわ,0,,
529.149,ナイスー,0,,
529.564,草,1,,
529.429,ないす,0,,
529.772,ないす〜！,0,,
529.893,ないす！w,1,,
530.978,ナイスw,1,,
531.553,エビオ草ｗ,0,,
531.784,草,1,,
533.244,ナイス！,0,,
533.319,ナイス〜,0,,
533.357,ナイスゥ,0,,
533.828,ナイス！,0,,
534.09,対よろ,0,,
534.249,ナイス,0,,
534.37,ないすー,0,,
534.362,？！,0,,
534.735,ナイス,0,,
535.102,ナイス！,0,,
535.226,ナイス～,0,,
536.027,なんで？,0,,
537.669,がんばれ！ｗ,0,,
539.065,ないす,0,,
540.209,見つめあったw,1,,
541.143,ABO笑,0,,
541.421,葛葉の声大きい？,0,,
542.684,草,1,,
543.868,箱内カスタムのわちゃわちゃした緩い感じイイネ,0,,
545.607,ここから本気出す,0,,
547.089,いまからな,0,,
548.224,がんばれw,1,,
548.423,ないす,0,,
548.565,がんばれ！,0,,
549.214,がんばれ！w,1,,
549.565,それはいつもやってくれw,1,,
549.617,ヤルネ＝カレ,0,,
551.842,ないす,0,,
554.828,いいねｗ,0,,
556.149,本気ラグーザ,0,,
556.773,漢葛葉、いきます,0,,
556.994,死ぬなw,1,,
557.256,37かw,1,,
557.31,草,1,,
559.299,37ですね,0,,
559.473,草,1,,
561.232,草,1,,
561.432,がんばれ〜w,1,,
562.509,草,1,,
562.675,草,1,,
563.542,もう懐かしいなw,1,,
563.816,フラグ建てた,0,,
564.009,草,1,,
564.946,草,1,,
566.906,豆☆板☆醤,0,,
567.703,草,1,,
569.845,本気はしぬの含めなんだw,1,,
570.031,rushきた,0,,
570.895,きた,0,,
573.349,isnt it dope ^^,0,,
573.923,草,1,,
578.953,がんばれー,1,,
583.315,草,1,,
585.948,草,1,,
585.941,草,1,,
586.005,草,1,,
587.14,w,1,,
587.63,草,1,,
587.91,草,1,,
587.997,ww,1,,
588.044,草,1,,
588.052,うまーい,1,,
588.058,草,1,,
588.122,草,1,,
588.46,草,1,,
588.299,草,1,,
588.273,草,1,,
588.415,草,1,,
588.437,あらｗ,1,,
589.143,あ,1,,
589.19,エイムがw,1,,
589.211,ww,1,,
589.469,ww,1,,
589.46,草,1,,
589.917,草,1,,
590.253,草,1,,
590.291,撃ち合いがw,1,,
590.488,草,1,,
590.589,草,1,,
590.646,草,1,,
590.715,草,1,,
591.171,草,1,,
591.422,草,1,,
591.523,草,1,,
591.518,草,1,,
591.801,エイムどうしたww,1,,
591.941,草,1,,
592.571,草,1,,
592.731,沼,1,,
592.876,ww,1,,
593.308,草,1,,
593.524,ww,1,,
594.711,草,1,,
594.911,草,1,,
594.917,草,1,,
