ラベル,コメント
1,わちゃわちゃすぎる
1,ww
1,やばすぎだｗ
1,わあw
1,huwattino
1,戦場すぎるw
1,草
1,草
1,ひばだけ声ちっちぇか
1,わちゃわちゃ
1,草
1,草
1,草
1,草
1,草
1,ｗ
1,草
1,ww
1,草
1,うぎゃあw
1,めっちやくちゃｗ
1,一旦タイトル通りか
1,草
1,草
1,草
1,草
1,賑やかね
1,わっちゃわちゃで草
1,w
1,わちゃわちゃ最高
1,草
1,わちゃわちゃ
1,わちゃわちゃだw
1,なんだこれw
1,楽しそうｗ
1,ww
1,草
1,いったんタイトル回収かｗ
1,草
1,草
1,わちゃわちゃw
1,死ぬw
1,草
1,すごいなｗ
1,草
1,わちゃわちゃw
1,草
1,ぱにっくw
1,たのしw
1,お腹いたいw
1,草
1,タイトル回収かw
1,タイトル通りw
1,草
1,草
1,ww
1,このチームやべぇw
1,草
1,草
1,当たるわけねえだろカスタムw
1,草
1,タイトルに忠実w
1,owはいいぞ！
1,草
1,草
1,草
1,草
1,owに変える？w
1,草
1,草
1,草
1,草
1,草
1,w
1,草
1,ww
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,やった当たったw
1,草
1,草
1,草
1,おおw
1,i want a whie one not a black
1,おおw
1,草
1,なんでw
1,草
1,草
1,おみあいw
1,草
1,ふわち元気だなww
1,草
1,草
1,ないす！w
1,ナイスw
1,草
1,見つめあったw
1,草
1,がんばれw
1,がんばれ！w
1,それはいつもやってくれw
1,死ぬなw
1,37かw
1,草
1,草
1,草
1,がんばれ?w
1,草
1,草
1,もう懐かしいなw
1,草
1,草
1,草
1,本気はしぬの含めなんだw
1,草
1,がんばれー
1,草
1,草
1,草
1,草
1,w
1,草
1,草
1,ww
1,草
1,うまーい
1,草
1,草
1,草
1,草
1,草
1,草
1,あらｗ
1,あ
1,エイムがw
1,ww
1,ww
1,草
1,草
1,草
1,撃ち合いがw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,エイムどうしたww
1,草
1,草
1,沼
1,ww
1,草
1,ww
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,エイム紙すぎたｗ
1,草
1,草
1,w
1,神エイムだw
1,なんか草
1,初戦はしゃあないどら
1,よわいw
1,一旦神エイムか
1,頑張ってw
1,AIM一旦温めたいかｗ
1,草
1,神エイムからの土下座
1,おしい！
1,nt
1,ペラッペラや
1,当たらんすぎるw
1,ナイス
1,マジで神エイム
1,ないとら
1,草
1,草
1,nt
1,神エイム
1,nt
1,謝罪たすかる
1,弾あたるわけねえだろw
1,スロースターターか
1,一旦ねw
1,nt
1,草
1,ntnt
1,エコw
1,タイトル回収感謝
1,こっからあっためてこうw
1,草
1,自分のことは棚に上げてw
1,草
1,草
1,えこらんどw
1,エコラウンドw
1,貴族エコｗｗ
1,草
1,草
1,草
1,草
1,これエコまじかww
1,草
1,草
1,貴族のw
1,草
1,草
1,有言実行ではあるw
1,草
1,エイムまずいね今日w
1,it would be nice to pass the white
1,徐々にあっためてこw
1,勝てる
1,頑張れ?
1,草
1,草
1,全部が腐る！
1,w
1,ねー
1,腐らすきちゃ
1,腐らすw
1,でた！腐らすw
1,草
1,草
1,追突した
1,腐るのか？
1,w
1,ｳﾙｻｲﾅｧ
1,草
1,バードストライク
1,鳥さんパタパタでわろた
1,草
1,草
1,草
1,草
1,w
1,草
1,草
1,草
1,一旦ロールで確定回復するか
1,鳥が顔面に！
1,草
1,鳥絡まったw
1,草
1,草
1,草
1,草
1,草
1,懐いて来たｗ
1,without gay
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ナイスゥ
1,ナイスゥ
1,草
1,w
1,ナイス！
1,草
1,どまどまｗ
1,腐らせろ！w
1,ｗ
1,草
1,腐らせろw
1,草
1,めちゃくちゃww
1,草
1,草
1,草
1,草
1,w
1,草
1,草
1,草
1,どまどまw
1,これはひどいw
1,草
1,草
1,ほんま草
1,草
1,？？？？？
1,まずいか
1,腐らせろ！w
1,とんでもないなww
1,おもろｗｗ
1,ﾆｸｸｻﾗｾﾛー！！！！
1,酷すぎるw
1,なんだこれw
1,草
1,草
1,高め高めだよー
1,草
1,たまあたるわけねえだろ
1,草
1,ww
1,腐らせろw
1,腐らせろ？？？
1,4！？
1,わちゃわちゃ
1,w
1,今日やばいぞw
1,草
1,草
1,あたりませんｗ
1,被害者沢山w
1,ww
1,草
1,草
1,草
1,草
1,4はあんま見んなぁw
1,くさ
1,おもろすぎｗ
1,面白いｗ
1,ww
1,色々ひどいw
1,走りうちヤバすぎるw
1,草
1,草
1,草
1,草
1,すげぇえええw
1,草
1,草
1,終わってらw
1,ほんと草
1,w
1,おもろすぎ
1,草
1,草
1,スパイおるって！
1,実質ace
1,本当に好き
1,草
1,タイトル回収すごいｗｗ
1,草
1,草
1,全アウトw
1,笑い止まらんw
1,やばすぎるw
1,賄賂貰ってたかw
1,買収されとるw
1,草
1,終わってるよw
1,どんまいw
1,草
1,スパイおるってw
1,八百長やんw
1,wowo
1,テッカテカでわらうw
1,そういう意味の腐らすねw
1,みんなにサングラスあげなきゃw
1,重りでしかないw
1,おもろすぎw
1,やばすぎるw
1,草
1,相手のフラッシュ上手いな?w
1,内側からw
1,今日ほんとまずそうだなw
1,仲良しカスタムでしか許されない利敵ww
1,今日ヤベェなw
1,マジでずっとケイオーが下手すぎるw
1,w
1,草
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,ww
1,草
1,w
1,草
1,草
1,草
1,別ゲーしてらあw
1,草
1,草
1,w
1,草
1,草
1,ナイスOW
1,草
1,草
1,草
1,草
1,草
1,思い直したw
1,だめじゃんw
1,草
1,ナイスow
1,思い直したw
1,草
1,かわんねぇw
1,草
1,なんもあたらんかw
1,認識がズレてるw
1,OWは余計当たらん
1,草
1,草
1,ww
1,いつもならw
1,草
1,あたるわけねぇだろカスタムだもんねw
1,草
1,エイムがいないねw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,初戦だからみんな慣らしてこw
1,ww
1,ww
1,CROWだっけ
1,ポリゴン多いねw
1,草
1,草
1,草
1,ナイス！
1,この人殺し！！
1,言い方ｗ
1,今更だろw
1,ナイス！！
1,ナイス！
1,ナイス
1,草
1,ナイス
1,ないす
1,サイコもいます
1,w
1,うっま
1,ナイス
1,ナイスゥ
1,草
1,ないす
1,通報した
1,葛葉おでんきちゃ
1,きめぇ武器持ってるなー
1,んふふw
1,ナイス
1,ないすー
1,ないす人殺しw
1,相変わらずシェリフうめ
1,やっちまったんだな
1,ナイスゥ！
1,ナイス
1,ナイス！
1,ナイス
1,ナイスゥ！
1,nice
1,ナイス
1,裏取りナイス
1,ナイスゥ！
1,草
1,ナイスゥ
1,ないすー
1,草
1,草
1,えーいw
1,でか
1,ナイスゥ
1,草
1,storyline is weirder than me
1,理解できない
1,w
1,おおお
1,ww
1,おちょくるなｗ
1,草
1,うざw
1,いいねw
1,いいよw
1,甘えピークえぐいｗ
1,草
1,草
1,草
1,草
1,w
1,草
1,草
1,動きやばくて草
1,うまｗ
1,草
1,きめえw
1,ピーク草
1,ナイスゥ
1,ナイスゥw
1,楽しんでるなぁw
1,草
1,草
1,楽勝ー
1,うえーい
1,草
1,草
1,ナイス！！
1,ナイスゥ
1,草
1,草
1,草
1,いいねいいねw
1,草
1,草
1,ナイスゥ?w
1,鬼ごっこしてるww
1,ダルすぎるww
1,うえ?いw
1,うまw
1,うざw
1,草
1,草
1,ナイスw
1,草
1,w
1,草
1,w
1,草
1,ホントいやらしい動きw
1,草
1,きめぇ?w
1,なんだこのゲームw
1,うまいのなんだw
1,なんかね！w
1,ぶちころせーw
1,なんかねww
1,こんな感じでチームスコアリーダーかw
1,ビビるw
1,草
1,草
1,どまw
1,草
1,草
1,草
1,草
1,草
1,1枚ww
1,草
1,草
1,見事にやられてるw
1,草
1,色気だすんだw
1,wkwkw
1,草
1,うまw
1,ふわっちうめぇ…ww
1,草
1,草
1,新曲w
1,草
1,草
1,ずっとw
1,ずっとエコでいいのにw
1,新曲w
1,草
1,誰？w
1,ナダルの声やめてw
1,w
1,草
1,草
1,足音w
1,ベイトw
1,声wｗ
1,草
1,ww
1,草
1,草
1,草
1,ww
1,あらw
1,草
1,クリアリングがw
1,草
1,笑い方w
1,あww
1,ww
1,おわってるw
1,草
1,草
1,草
1,何その声w
1,草
1,草
1,草
1,さすがにかw
1,草
1,草
1,血だらけw
1,草
1,草
1,えぐいw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,w
1,草
1,voll weird they start wearing whit and black i am confused
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,草
1,例えがw
1,ww
1,草
1,草
1,諦めたw
1,草
1,んふふww
1,草
1,マヨネーズわかりすぎるw
1,草
1,例えが終わっとるw
1,わちゃわちゃおもろw
1,ギリ足りない量w
1,草
1,例えw
1,ナイス声出しw
1,バケモンすぎるw
1,i want a cutie instead
1,うめい！
1,ナイス
1,調子ノってきたね~！
1,勝てる
1,ナイスゥ！
1,ないす！
1,ナイスゥ
1,ナイスゥ！
1,ナイスゥ！！
1,ナイス！！
1,ナイスゥ
1,ナイスゥ！
1,ナイスゥ～！
1,ナイスゥ！
1,ナイスゥ
1,急に戻ってきた
1,ナイスー！
1,ナイスゥ
1,ナイス！！
1,ないすないす！
1,うめぇ
1,ないすー！
1,ナイス
1,ナイスゥ！
1,うっま！！
1,ナイス！！
1,ないすうう
1,ナイス?
1,当たってきた！w
1,ww
1,急にエイム戻ったw
1,草
1,バグってるw
1,草
1,草
1,ww
1,草
1,white white is cute
1,ぶるぶるw
1,設置葛葉だよw
1,草
1,草ないす
1,草
1,嘘でしょw
1,設置できんw
1,ナイスゥw
1,草
1,草
1,草
1,草
1,ww
1,ナイスw
1,草
1,草
1,ナイスw
1,草
1,つよw
1,ww
1,葛葉さーんw
1,草
1,草
1,設置忘れてんなw
1,ナイスw
1,ないすw
1,草
1,草
1,何がなんだかw
1,終わっってるww
1,忘れてたなw
1,草
1,草
1,草
1,えw
1,設置w
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ないすうw
1,忘れてんなぁw
1,ナイスww
1,何が起きてたのかw
1,単細胞してるw
1,w
1,草
1,草
1,草
1,草
1,おもろすぎw
1,5ー4ではないけどw
1,頭温めてくかw
1,算数がw
1,頭起きてないぞww
1,まだ寝てない？w
1,起きてないかw
1,ww
1,起きてねえw
1,草
1,草
1,草
1,ふわっちww
1,草
1,草
1,てか誰も突っ込まない当たりみんなも寝起きかもww
1,てぃーむw
1,wow
1,うまw
1,wtf
1,久しぶりに聞いたそれw
1,草
1,共鳴しとるw
1,ふたりだけで共鳴すなw
1,草
1,草
1,草
1,草
1,草
1,wait what's？
1,草
1,草
1,AQFみが、、w
1,リリさんずっと疑問でおもろいw
1,草
1,草
1,草
1,草
1,草
1,草
1,りりむw
1,だれだw
1,草
1,草
1,草
1,草
1,形相やばそうw
1,吹いたw
1,草
1,トコトコスカイりりむかww
1,草
1,草
1,めっちゃいるw
1,草
1,ん！？w
1,草
1,草
1,草
1,うわああああw
1,なにがなんだかw
1,草
1,がくがくやなw
1,w
1,ないすないすw
1,草
1,草
1,こわw
1,草
1,草
1,草
1,草
1,ww
1,引っ越した？w
1,あったねw
1,ピン高いなぁw
1,あったなそんなのw
1,あったなぁw
1,草
1,久々の韓国勢になったw
1,kr ww
1,魔界特定されちゃうw
1,ww
1,草
1,つよw
1,つよw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,うんまww
1,草
1,ロックマンエイムw
1,草
1,一番知ってる人いるかw
1,草
1,コソ練してたのかよ?w
1,草
1,ww
1,ヒールw
1,ヒール持ちいないなw
1,ヒール？ww
1,ヒールいないのよw
1,ふわっち銃声より先にやったって言ってるww
1,どういうことw
1,草
1,草
1,草
1,狂ってるw
1,草
1,草
1,はい？ w
1,草
1,草
1,返事の癖よw
1,ww
1,草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草
1,草
1,草
1,草
1,草
1,草
1,草
1,ナイスゥw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,意味がわからないw
1,草
1,草
1,ww
1,草
1,間に合わんw
1,腹よじれるw
1,草
1,草
1,w
1,seoldam w
1,ww
1,草
1,草
1,草
1,草
1,なんか音やばいw
1,草
1,草
1,草是笑、哈哈哈的意思
1,草
1,草
1,ww
1,草
1,ノッちゃったw
1,あw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,あw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ないけずww
1,草
1,草
1,草
1,プロなの？w
1,ふわっちの球あたってなかったのにw
1,fuwaplayer
1,今日ラグいねw
1,まじでラグいなw
1,草
1,草
1,あ?w
1,草
1,草
1,fuwaplayer
1,草
1,草
1,草
1,器用すぎるだろw
1,ww
1,fuwaplayyer!?
1,草
1,草
1,w
1,ちょっとーw
1,fuwaplayerきた
1,草
1,草
1,草
1,草
1,草
1,すごすぎw
1,草
1,草
1,草
1,すごw
1,草
1,草
1,草
1,なんでやww
1,草
1,草
1,ストファイかw
1,負けてもしてくれw
1,もうスト6期間終わったのにw
1,それは強すぎるんよw
1,ヒトボでfpsやばいw
1,器用すぎるw
1,勝ってくれw
1,ww
1,ふわっちw
1,草
1,ふわっちw
1,草
1,草'的意思是'被嘲笑'。
1,んんw
1,リコイルの癖が強いw
1,うっまw
1,視点w
1,おいw
1,やばw
1,タイトル詐欺二人おるが?？w
1,ダブルw
1,ww
1,草
1,よう勝ったなw
1,タイトル詐欺勢強くね？w
1,いいねぇww
1,買い方忘れてたw
1,草
1,草
1,二人してタイトル詐欺やめてくださいw
1,草
1,草
1,あw
1,ww
1,草
1,草
1,草
1,草
1,草
1,クラシックw
1,草
1,w
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,おったw
1,草
1,草
1,草
1,草
1,草
1,草
1,うわあああww
1,草
1,視点が怖いw
1,草
1,草
1,草
1,草
1,ほらげ？w
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ラグすぎるw
1,草
1,草
1,エビオうまw
1,床の跳弾でやってるww
1,イカれてるw
1,らぐww
1,エビオうまw
1,ラグw
1,オデンの撃ち方おかしいw
1,視点やっばw
1,ラグえぐいw
1,草
1,チーターみたいになってるwｗ
1,地中撃って当てるやつw
1,草
1,ラグいなw
1,草
1,死体撃ちしてるみたいw
1,チーターみたいになってるw
1,やっぱりモクかw
1,ラグいww
1,ラグすぎるw
1,かなり下のほう打ってたけどw
1,めちゃ攻めw
1,視点きもw
1,どっちもえぐいキルジョイいるww
1,やられた声でキルしたなww
1,流石にかw
1,ナイスって言いながらバカ震えてたw
1,何が起きてるかわからんww
1,草
1,草
1,nyo sometimes people knock on my door people start wearing black and white there is a little children in front of a hospital praying consufisn
1,終わったら再起した方がいいなこれw
1,ww
1,草
1,草
1,草
1,草
1,w
1,草
1,がんばれ～w
1,草
1,怖いよあいつw
1,草
1,w
1,草
1,草
1,草
1,らっぐw
1,w
1,なんて言ってんのw
1,ラグいオデンww
1,ラッグw
1,草
1,草
1,草
1,ラグ酷いってw
1,らぐすぎw
1,ラッグww
1,やばw
1,草
1,らぐww
1,やっばw
1,w
1,キング・クリムゾンされたやんw
1,なんでこんなラグいw
1,え？w
1,らぐw
1,らぐw
1,草
1,草
1,草
1,ラッグw
1,えぐいw
1,草
1,ラッグw
1,らっぐいww
1,やっばww
1,画面えぐみw
1,びっくりするねw
1,ラグすぎww
1,音がw
1,ラグ過ぎるw
1,ラグすぎかw
1,草
1,これどうなってんだよw
1,らぐww
1,時が止まってたw
1,草
1,やばいなこれw
1,Windows update?
1,何かと思ったw
1,ラグw
1,新時代のヴァロ始まってるW
1,ww
1,草
1,草
1,then a guy dressen in black waits in the staircase
1,草
1,草
1,草
1,敵視点どう見えてるんだろw
1,草
1,草
1,草
1,草
1,ショットガンやんw
1,草
1,草
1,草
1,オデンじゃないww
1,草
1,ww
1,草
1,草
1,えぐw
1,2発で壊れたw
1,草
1,草
1,オーディンじゃないw
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,2発w
1,オーディンが2発w
1,草
1,草
1,オーディン強すぎw
1,時空超えてるww
1,草
1,単発w
1,草
1,草
1,草
1,2発w
1,2発マ？ww
1,which one
1,草
1,草
1,草
1,二発w
1,ww
1,すげえなw
1,草
1,草
1,草
1,草
1,あれもそうなのかw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,なるほどねぇw
1,なるほどw
1,草
1,草
1,なるほどなw
1,草
1,草
1,草
1,草
1,w
1,そゆことかww
1,草
1,草
1,草
1,ww
1,マジかw
1,草
1,草
1,あれもかw
1,合わせられてたw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,やさしさw
1,悲しくなっちゃうw
1,うわ気まずいw
1,合わせてたw
1,草
1,話し合わせてくれてたんだw
1,合わせるなよw
1,なるほどなw
1,草
1,話合わされてたw
1,みんなの優しさやったんやなww
1,ラグの伏線回収やめてw
1,優しさが悲しいw
1,合わせてくれてたのかw
1,気を遣われていたw
1,ひば黙ってたのそれかw
1,idk will he attack me
1,優しさがw
1,草
1,草
1,わしじゃw
1,草
1,草
1,草
1,草
1,ww
1,ミッドとめっちゃいる混ざってるw
1,草
1,ww
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,草
1,草
1,草
1,w
1,w
1,草
1,草
1,草
1,クソエイムw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,沼w
1,w
1,大沼バトル勘弁してw
1,草
1,草
1,沼w
1,草
1,草
1,草
1,当たらんw
1,草
1,草
1,草
1,エペやってる？w
1,タップダンスしないでw
1,えｗ
1,ナイスジョイ
1,沼vs沼
1,仁義なき沼バトル
1,GO
1,すごい見つめ合いw
1,スパイク落ちてたｗ
1,沼w
1,ナイスゥ！
1,勝てるｗ
1,ナイス！
1,うおおお
1,ナイス
1,ナイスゥ
1,ping battle w
1,ナイスゥ
1,ないす！
1,うおおおおおおおお
1,うおおお
1,ナイスー！！
1,ナイスゥ！
1,ナイスゥ！
1,ナイス
1,ナイスゥ！
1,ナイスゥ！
1,ナイスゥ
1,おおおおお
1,ナイスゥ
1,うっま！
1,ナイス！
1,うまｗ
1,うおおおおおおおおお
1,うま！
1,ナイスゥ！
1,ナイスゥ！！！
1,ナイス!
1,ナイスゥ
1,ラグいのに！？
1,nice
1,ないすう！！！！
1,ナイスゥ
1,うおおおおおお
1,うっま
1,ないす！
1,ナイスゥ！
1,ないす！！
1,ナイスー！
1,ナイスー！！
1,ナイス！！
1,ナイスゥ！
1,わお！！
1,つっよ！
1,ナイスゥ！
1,ナイスゥ！
1,ナイスゥ！
1,うま！！
1,ナイス！
1,うま！！！
1,うま
1,ナイス！
1,ラグの向こう側！？！？
1,うまああああああ
1,ナイス
1,ナイス！！
1,ナイス！
1,うま
1,葛葉もしかしてラグくてピークもラグいんじゃない？
1,うぉおおー！
1,ラグあってもうまいんだよねぇ
1,うっま！
1,すみすきた？！
1,うおおおおおお
1,なんか色々起こってるw
1,二度見した？w
1,ラグいのにw
1,草
1,マンチが今日こんなキルしてたなw
1,草
1,草
1,草
1,草
1,草
1,ノリにノッてきたw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,the white girl was cute
1,当てろよw
1,草
1,優しいw
1,草
1,草
1,草
1,草
1,草
1,草
1,ピングーエイム
1,草
1,ナイス！
1,イケボw
1,メンタルのカバー上手い
1,にゃらか…
1,りりむいなくても出来るね‥
1,このライブのタイトル見てみて？
1,ww
1,かよちゃんアシストもすごいな
1,ちゃんとホストしてる
1,ナイス
1,足ｗ
1,異常聴覚w
1,観戦が特にラグいだけでプレイには支障は今んとこ大丈夫そ？
1,草
1,にゃらかいいひと
1,ナイスゥ！
1,ないす
1,ナイス！
1,ナイス
1,ナイスカバー
1,うあ
1,ナイス
1,gg
1,gg
1,ナイス
1,向こう視点どうなってんだろ
1,ナイスカバー
1,but a black guy in the staircase is questionable
1,ないすうううううううううう
1,ナイスゥ！！
1,ナイス
1,gg
1,GG
1,ないすぅ！
1,ナイスゥgg
1,ナイスゥ！
1,ナイス
1,ナイス！！！
1,ないす！！！
1,gg
1,ナイスゥ
1,ナイスゥ！
1,ナイス！！
1,ナイスー！！
1,gg
1,gg
1,ナイスゥ～！ｇｇ
1,こわ
1,ナイスゥ！
1,ナイス
1,ナイッスゥ！
1,ないす
1,gg
1,ないす～～
1,gg
1,ナイスゥ
1,ナイスゥ
1,ナイス！！
1,ないす
1,GG
1,ないすー！
1,ナイス！！gg
1,gg
1,gg
1,ﾅｲｽｩ
1,ナイス！
1,gg
1,gg
1,ナイス！！
1,GG!!!
1,ナイス！
1,ナイスゥ！！！
1,gg
1,ナイス！
1,なぃすう
1,ないす～
1,gg
1,ナイスゥ！！
1,ナイス???！！ GG
1,ないすー！
1,gg
1,ナイスゥ！GG
1,ナイスー！
1,ナイスゥ！
1,ナイスゥ！
1,ナイスゥ！
1,ナイスゥ
1,GG!
1,gg
1,ナイスゥ！
1,gg
1,gg
1,gg
1,ナイス！
1,ナイスゥ！
1,gg
1,ないすー！！
1,ナイスー！
1,gg
1,gg
1,gg
1,gg
1,gg
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,ww
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,葛葉視点ラグのせいでマジでチーターに見えるw
1,草
1,草
1,誰も言わないってww
1,草
1,草
1,絶対言わんやろw
1,that is what i find annoying about this
1,草
1,草
1,草
1,草
1,草
1,言わんわw
1,w
1,草
1,草
1,草
1,草
1,草
1,草
1,意味ないw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,一緒やんw
1,草
1,草
1,草
1,草
1,草
1,草
1,同じやw
1,草
1,草
1,草
1,おっしゃる通りでw
1,草
1,えぇw
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,草
1,仰る通りでw
1,草
1,草
1,草
1,草
1,コートチェンジやんけw
1,草
1,草
1,兄さんww
1,草
1,脳死やんw
1,兄さんw
1,攻守交代なだけw
1,草
1,草
1,コーヒー吹きかけたww
1,萎え落ち？w
1,兄さんと勘違いかなw
1,草
1,草
1,勝ったのに萎えたw
1,勝って萎えたんだw
1,萎えたw
1,フラグトップで萎え落ちw
1,草
1,ww
1,草
1,草
1,ww
1,草
1,草
1,草
1,あれ？w
1,草
1,草
1,いやらしい女
1,ヘソかな
1,えっど
1,センシティブ
1,やらしいは草
1,語弊あるw
1,草
1,草
1,語弊がある
1,語弊
1,大丈夫か
1,やらしいにゃらか
1,たらい回しで草
1,奈羅花はやらしいと
1,えっっ
1,ww
1,やらしいか
1,草
1,背中がやらしい！？
1,語弊しかないｗ
1,やらしかったか
1,but he got away so i could go shopping
1,草
1,奈羅花はやらしい
1,ど、どこが！？
1,姦しいｗ
1,背中がやらしい！？
1,ちょっとにゃらかやらしいか
1,草
1,背中には鬼の顔が…
1,草
1,にゃらかはやらしいか…
1,にゃらかは、やらしいw
1,草
1,やらしいならか
1,草
1,草
1,草
