投稿時間,コメント,ラベル
544.705,こん:_hii::_naa:,0
544.621,ワットソン可愛いやつ,0
545.94,ガチャ配信やります～か？,0
547.561,まさかのだるさか！,0
550.96,だるさか珍しい,0
553.582,カッケェ,0
555.676,こんひな！,0
557.995,:_hii::_naa:,0
560.271,仮面ライダーカブト見てぇなやつね,0
561.963,だるさかとは,0
563.753,このコラボはすげえ,0
564.655,こん:_hii::_naa:,0
564.779,まじで俺得すぎるありがとうひなーの,0
567.214,こんひなー！だるさかとやるの初めて見るわ,0
569.823,最近友達が増えただるさんと最近ともだちがぜんぜん増えないあリピとコラボか！！,0
570.607,フジツボ,0
572.478,こん:_hii::_naa:,0
573.817,フジツボw,1
573.846,これ試合の中で進化するんじゃないんだよな,0
574.436,こん:_hii::_naa:,0
575.157,だるさかと！,0
576.135,こんひな,0
576.246,こん:_hii::_naa:,0
579.411,ｗｗ,0
579.749,こん:_hii::_naa:,0
580.19,こん:_hii::_naa:,0
581.187,フジツボやめーやほんとw,1
582.122,試合の中での進化じゃないよー,0
582.809,だるさがコラボめっちゃ嬉しい,0
582.926,めずらしい面子だね,0
589.451,wwwwww,1
592.204,こんひな,0
592.29,:_くさぁ:,0
594.418,だっりーｗ,0
594.595,だるさかとコラボは神,0
595.017,まさかの組み合わせ！,0
596.28,だるさか！？,0
597.523,www,1
598.987,wwww,1
599.354,こんひな,0
599.57,www,1
602.493,忙しかったんかなw,1
603.577,www,1
607.173,ゲラ2人に振り回されるありさかにの図が目に浮かぶw,1
607.707,こん:_hii::_naa:,0
607.984,メンツからもう神回確定,0
608.587,だるさか助かる,0
612.409,あー,0
613.826,wwwwwww,1
613.829,漫才コンビ,0
616.811,敬語w,1
617.241,ひなーの耐えれるかなこの2人にwww,1
618.815,ｗｗｗ,0
619.536,縦社会えぐw,1
620.49,草,1
621.484,ダメージを与えることで解放されていくスキンだから試合中に進化するわけじゃないよー,0
622.106,ぶいすぽは縦社会,0
625.147,芸人,0
627.355,縦社会きちゃwww,1
632.332,ありさかさんは振り回す側だぞ,0
632.925,大きく出たな,0
633.828,ランク縦社会だw,1
639.362,ひなーのふぁいとぉ,0
643.488,ありぴトップになったらすごすぎるw,1
649.524,ひなーのどんだけツッコミが冴えていくんだろうな,0
649.754,激熱コラボやん！！,0
652.312,こんひなー,0
652.764,www,1
652.895,煽ってんなぁw,1
653.037,www,1
653.05,ほほほほwwww,1
654.568,wwww,1
656.132,Welcome to ひななー!,1
660.313,こんひな,0
662.22,チャンピオン部隊だ,0
668.994,サムネ超かわいい,0
670.302,煽るねぇwww,1
670.992,ゴールドいうやんw,1
672.48,こん:_hii::_naa:、だるさかひなのって見えてめっちゃびっくりした,0
673.348,こん:_hii::_naa:,0
675.028,ゴールドだけど頑張ろうｗ,0
681.502,wwwwwwwww,1
682.598,www,1
682.618,珍しいコラボ,0
683.167,www,1
690.642,いいぞもっとやれwwwww,1
691.793,だるさかコラボマジ神！,0
691.928,なんでもゴールド言うじゃんww,1
693.226,こん:_hii::_naa:,0
695.138,ゴールドwww,1
730.041,おしーーー,0
733.208,あ,0
733.755,草,1
734.311,おしい:_sad:,0
735.764,ｗｗ,0
737.965,あああああwww,1
738.394,www,1
738.78,確キルはやw,1
739.158,www,1
742.193,プラチナ先輩？？？,0
742.994,ww,1
745.485,ｗｗｗ,0
745.532,www,1
750.207,www,1
751.223,www,1
753.031,www,1
753.676,カバーの速度ゴールドやなぁ,0
756.385,killポwwww,1
757.423,初手からえぐいwww,1
758.496,www,1
758.629,適正出たw,1
760.538,wwwwwwwwww,1
761.453,あっw,1
761.729,www,1
763.324,ひっでぇwww,1
763.874,ｗｗｗｗ,0
764.008,うそやんwwwwwwww,1
764.181,9 damage peacekeeper,0
766.379,こん:_hii::_naa:,0
769.88,あーあ,0
770.05,これはゴールド,0
776.245,はえーよwwww,1
777.33,ｗｗ,0
779.845,草,1
780.501,:_じーじー::_くさぁ:,0
781.879,嘘だろwwwww,1
782.076,:_じーじー:,0
782.114,www,1
782.151,ないふぁい:_じーじー:,0
782.189,NF,0
782.627,よし,0
782.694,よし,0
782.989,待ってたなぁw,1
783.287,ww,1
784.806,wwww,1
784.869,nf,0
786.417,wwww:_じーじー:,1
787.51,さすがにね,0
788.739,草,1
791.156,あぁw,1
792.032,プラチナきちーーー,0
792.271,:_じーじー:,0
792.534,:_じーじー:,0
792.887,ゴールドかぁ,0
793.069,www,1
795.654,ないふぁい:_じーじー:,0
804.431,:_じーじー:,0
806.076,珍しいメンバー,0
807.702,ないふぁい！,0
810.396,ないふぁい:_じーじー:,0
812.997,どうしてこのメンバー？,0
813.061,この面子結構疲れそう,0
816.804,マスターとプレデター二人の配信です,0
821.703,この配信笑いすぎて腹筋鍛えられそう,1
821.939,えぐw,1
823.139,こんひな,0
823.111,1時間ww,1
824.253,草,1
824.635,きっつw,1
828.825,だるまさん呪われとるやん,0
833.892,スロースターターかww,1
836.048,このメンツ嬉しすぎ！！！,0
836.466,えぐいてぇwwwwww,1
840.75,てきせいきたw,1
844.78,えぐww,1
849.084,こん:_hii::_naa:だるさかひなーの助かる,0
850.729,だるまIGL見してやw,1
856.543,ひなーの登録してなかった自分に驚いた すみません今しました。,0
859.605,まさかwwそんなことするやつおらんてwwwww,1
859.631,こん:_hii::_naa:,0
863.214,そんなマナー違反するやついる！？,0
866.142,まさかね〜:grinning_face_with_sweat:,1
868.165,天下のCRにGなんてまさかw,1
881.454,まさかね…w,1
882.153,怖いなぁw,1
884.906,まさかね,0
888.078,wwwwwwwwwwwww,1
888.535,そんなまさかwww,1
888.779,寝るｗｗｗ,0
889.064,寝るのかな,0
889.249,何が寝るんやろか,0
890.632,言ったねぇw,1
892.615,あっ,0
892.907,CRにはGがわかない,0
893.225,おやおや…？,0
894.107,誰がとは言わないけどねw,1
895.016,早いな寝るの〜,0
896.554,まっずいww,1
897.154,規則正しすぎて草,1
897.339,草,1
899.836,草,1
900.157,寝ないなこれ,0
900.299,あ,0
900.479,あーね,0
900.408,まーずいw,1
900.524,www,1
900.63,やっばいなーwww,1
900.843,草,1
901.057,あっ,0
902.815,ｯｽｩｰ,0
902.926,まっずい,0
903.234,土曜日…あっ…,0
905.063,無限列車編やんw,1
905.847,朝までコース,0
905.995,あっ…,0
906.157,まずい,0
906.529,やばいww,1
907.039,まっずい,0
907.111,つまり寝ないやん,0
907.473,草,1
908.407,実は今日土曜日でー:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0
909.963,やめとくかー,0
910.431,:_くさぁ:,0
911.562,まっずい,0
917.777,あっ,0
920.98,ボーナスタイムってこと！？w,1
925.737,来ても返せばただのキルポってわーけ,0
926.472,初動ファイト練習だw,1
927.847,明日までお休みですねぇ！,0
937.818,鼻声とのどやばそうｗ,0
939.249,すごいんだから,0
943.459,つまり今日は延々と盛れないと、、、w,1
947.834,ガチャの音がするからなあ,0
950.583,ah my two main man is here,1
951.599,アンチ外まで引っ張られる魔力がある,0
958.912,玉ね,0
959.21,ガチャ音水耕まで聞こえるからねw,1
968.234,こんひな〜,0
968.821,無限ガチャ弁,0
983.902,ボセック上手いしな,0
984.691,こんひなー,0
991.126,ありぴは弓の名手よ。,0
992.864,こん:_hii::_naa:,0
998.691,www,1
998.647,ありさかさんボセックうまい,0
999.24,wwwwwww,1
1002.306,あ,0
1003.325,あ,0
1004.76,まさかのだるさか,0
1005.389,ｗｗ,0
1005.612,あ,0
1005.982,ナイス白,0
1006.317,あｗ,0
1006.427,あっ,0
1007.614,あ,0
1007.886,リピーターのほうが強そうだけどな,0
1007.896,白定期,0
1007.922,あ,0
1007.96,いつもの,0
1007.982,あっ,0
1008.702,白定期ナイス,0
1008.848,a,0
1008.954,もはや才能ｗｗｗ,0
1009.134,あ,0
1009.657,？,0
1010.208,あ,0
1010.839,あ,0
1011.283,あｗｗｗ,0
1011.425,あwww,1
1012.474,あ,0
1012.738,あ,0
1012.784,証拠隠滅,0
1013.63,モンハン関係ないやんｗｗｗ,0
1013.771,..?,0
1013.721,w,1
1014.032,白定期,0
1015.039,虐待,0
1016.114,あ,0
1016.682,あっ,0
1018.12,モンハンw,1
1019.001,あ,0
1022.902,ありさかさんボセック上手いよね,0
1023.806,え？白？,0
1024.297,www,1
1024.405,白白白白白白,0
1025.566,チャージステップww,1
1026.474,マービン警察くるでー,0
1026.768,だるま、ぼせっくすてたが,0
1026.973,ひなーの？,0
1028.268,ｗｗｗｗ,0
1029.02,白…,0
1029.614,スロット警察くるぞ,0
1033.327,アーマー進化のためにねww,1
1035.476,バレたら死刑になっちゃう,0
1036.103,友達ボセック使いいるのにー,0
1038.576,ちゃんとやったことある人やんだるまさんww,1
1040.517,2ndGもアカムの弓強くなかったっけ？,0
1041.673,wwwwww,1
1046.805,3rdでとまった,0
1047.539,マーヴィンで進化ダメおいしい,0
1051.162,大剣なんだw,1
1052.817,2ndGなら覇弓やね,0
1052.956,いつも通りだｗｗｗｗ,0
1053.084,ライトボウガン楽しかったなぁ,0
1055.143,ひなーのがモンハンしたら台パン止まらん,0
1055.495,しっぶw,1
1055.574,大剣使いひなーの,0
1056.453,2gのアカム弓強かったような,0
1056.918,セカジーが1番おもろいんよ！,0
1056.954,体術わからんかーww,1
1058.008,大剣は草,1
1060.441,大剣ええやろが！！,0
1061.893,大剣だろ,0
1062.218,2gの大剣はいい,0
1064.296,いいセンスだ,0
1066.519,大剣はいいぞ,0
1066.908,太刀が一番かっこいいぞ,0
1067.313,解釈一致だ,0
1067.671,大剣は男のロマンやろ！！,0
1067.604,ひなーの世代古いんだよなちょっとw,1
1068.303,双剣が1番かっこいい,0
1068.54,あ？大剣バカにした？,0
1069.296,大剣一番かっこいいですよ,0
1072.527,MHWコラボ来る？,1
1073.482,いーやガンランスだね,0
1075.514,やっぱライトボウガンでしょ,0
1079.485,あれ,0
1079.404,うーん解釈一致,0
1080.472,ありぴー！！！！,0
1080.728,あっ,0
1080.898,え,0
1080.971,落ちた？ww,1
1083.456,え？,0
1084.187,えええええええええ,0
1084.614,草,1
1084.715,ありぴ？？？,0
1084.839,2nd出身は太刀だよね,0
1085.027,あれｗｗｗ,0
1085.095,配信落ちた,0
1085.541,ありさかさん落ちてね？,0
1085.77,ありぴ！？w,1
1085.817,双剣に決まってるんだよなぁ,0
1086.538,え,0
1086.58,回線ゴールド,0
1087.37,え？,0
1087.605,ありぴ！？,0
1088.153,ありぴ！？,0
1088.04,ありぴ！？,0
1088.383,えー配信ごと逝きました,0
1088.462,切断してるw,1
1088.714,あら,0
1089.441,ありぴw,1
1089.358,えwww,1
1089.442,ありさか！？,0
1089.845,落ちた？,0
1090.576,あれ？,0
1091.109,ありぴ！？,0
1091.381,ありさかさん！？,0
1092.017,ありぴ配信落ちちゃった,0
1092.897,ありさかさーーーん,0
1093.399,ありゃ,0
1093.939,ありぴ配信も落ちてる,0
1094.351,やっぱ海外だからw,1
1094.369,配信も落ちてます,0
1095.542,宮崎回線,0
1095.768,宮崎回線ww,1
1097.219,宮崎回線,0
1097.508,ありさかさんのはいしんおわたｗ,0
1097.936,あれ,0
1098.465,wwwwwww,1
1099.278,ありさかさん！？,0
1099.431,でたw宮崎回線www,1
1100.218,宮崎回線,0
1100.227,配信も落ちたよ,0
1101.654,aripiーーーーーー,0
1102.844,これが宮崎回線かぁ,0
1103.559,放送も止まってて草,1
1103.633,ありぴ～～～～～～～～！！！！！！！！,0
1104.678,配信ごと落ちてる,0
1105.18,宮崎回線がw,1
1105.772,配信も落ちてるね,0
1106.259,マービンかもしれん,0
1106.307,宮崎回線からきました,0
1106.519,窓の外見てるｗｗｗ,0
1106.672,ありぴ配信も落ちた,0
1107.279,www,1
1108.363,お外見てるｗ,0
1108.717,ｗｗｗｗ,0
1108.946,異国の地だから,0
1109.292,草,1
1110.177,黄昏てるwww,1
1111.233,マービンやん,0
1111.603,回線弱いから許してあげて,0
1112.133,外見てるｗｗ,0
1112.251,佇んでるw,1
1113.934,www,1
1115.703,宮崎って遠いんやな・・・,0
1116.092,wwwwwwwww,1
1116.33,配信おわった,0
1116.593,ユーチューブも落ちた,0
1118.515,宮崎ブラジル支店だからね,0
1120.003,ｗｗｗｗ,0
1120.109,配信も落ちてて草,1
1120.443,マーヴィンみたいや,0
1120.973,discごといかれたw,1
1121.619,ありぴ配信おちた,0
1121.961,黄昏てるなあw,1
1123.989,外出すのえぐいw,1
1125.769,まただるま運送w,1
1126.746,外見てたwww,1
1128.931,配信も落ちてるんかな？,0
1130.008,配信ごと逝ったw,1
1131.039,宮崎ってそんなやばいん？,0
1132.576,www,1
1135.424,ありぴ…,0
1137.336,敵居るww,1
1137.582,宮崎電波塔ないんか？ｗｗｗ,0
1139.881,まずいｗ,0
1140.027,ping40だっけ?,0
1142.229,ちょいちょいだるまさん殴ってるの草,1
1143.233,あリピがイカれた…かわいそう,0
1144.073,宮崎だけじゃないけど弱いで,0
1144.272,いかんいかんｗｗ,0
1144.633,宮崎回線かぁ,0
1149.007,こんひな~！,0
1152.771,www,1
1154.032,行けるわけないだろw,1
1155.76,MIYAZAKIだからしゃあないな,0
1157.085,おし,0
1158.035,ふざけてたら負けるww,1
1159.303,ポータル？,0
1159.798,ジャンパや,0
1160.064,www,1
1166.87,ジャンパ使おうよ,0
1167.144,ジャンパ使って空中で殴った方が早いし2戦目だし,0
1167.45,www,1
1167.535,ポータル繋げば,0
1167.88,1戦目......？,0
1169.508,草,1
1170.983,二戦目です(),0
1172.191,discord?,0
1174.83,1戦目…？,0
1175.537,ｗｗｗ,0
1177.806,すご,0
1178.051,すげぇ,0
1178.158,すご,0
1178.284,おお,0
1178.715,ありぴ〜,0
1179.081,おぉあがりそう,0
1180.784,うまｗｗｗ,0
1180.819,宮崎から来ました,0
1180.974,うまいんだよなw,1
1181.624,かんちょうしてるみたいで草,1
1183.879,めっちゃ飛んだw,1
1184.183,2戦目なんよねこれ,0
1184.862,草,1
1185.108,宮崎回線きた～,0
1189.557,ポータル使えば？w,1
1189.913,ワープで運べば？w,1
1192.256,キャラコンすごw,1
1193.092,すいません誰か遅刻しました？,0
1193.209,ポタしよう,0
1193.676,ジャンパで落としてバナーだなww,1
1194.591,草,1
1196.846,面白くてうまい,0
1199.663,バナーで運ぼう,0
1200.057,え？,0
1200.957,え！？,0
1201.212,ｗｗ,0
1202.189,！？,0
1202.274,え？,0
1203.353,え,0
1204.091,すり抜けたwwwww,1
1204.183,バナーにもなれんｗｗｗｗ,0
1204.114,全然帰ってこんw,1
1204.714,え,0
1205.006,え？,0
1206.207,！？,0
1206.741,え！？w,1
1206.89,無敵か,0
1206.949,！？,0
1207.627,ガチャ止まらん,0
1207.947,え？,0
1208.328,草,1
1208.24,ｗｗｗ,0
1208.849,ジャンパばぐったｗｗｗｗｗｗ,0
1208.797,え？w,1
1209.369,!?,0
1209.397,飛ばないwww,1
1209.507,www,1
1209.56,ジャンパバグで草,1
1209.573,いない扱い？ww,1
1210.186,wwwwwww,1
1210.288,草,1
1211.086,Uberwww,1
1211.212,草,1
1211.442,wwww,1
1211.481,草,1
1211.544,え？！,0
1212.138,ねぇwww,1
1212.083,かおす,0
1212.345,ダメなんだw,1
1213.254,wwwwwwwwww,1
1213.767,まずいｗｗｗ,0
1213.844,草,1
1213.882,配信中Uberは草,1
1213.9,どんな状況やねんｗ,0
1214.055,わちゃわちゃwww,1
1214.057,なんでw,1
1214.402,めちゃくちゃｗ,0
1214.398,wwww,1
1214.796,えぐいてぇwwwwww,1
1214.785,カオスすぎない！？,0
1214.973,wwww,1
1215.096,なんだよこのパーティwwww,1
1215.243,WWWWWWWW,1
1215.432,なんだこの空気wwwww,1
1215.596,こん:_hii::_naa:,0
1215.903,めっちゃくちゃやww,1
1215.833,草,1
1216.029,もうだめだああ,0
1216.021,渋滞しすぎww,1
1216.37,笑笑笑笑笑笑,1
1216.547,なにやってんだｗｗｗ,0
1216.536,殴りは飛ばないのかｗｗ,0
1216.968,なにこのジャンパ,0
1217.478,www,1
1217.98,草,1
1218.596,wwww,1
1218.506,えぐw,1
1219.18,ウーバーきたwwww,1
1219.234,uberwwww,1
1220.045,うーばーwwwww,1
1220.092,エグいてww,1
1220.19,てんやわんや,0
1220.181,最近パッド反応しないことあるよね,0
1220.598,それは草草,1
1220.874,草,1
1221.111,えぐいってwww,1
1221.53,草,1
1221.608,なんだこれwww,1
1221.79,草,1
1222.024,このパーティやばｗ,0
1221.988,放送事故wwe,1
1222.163,ｗｗｗｗ,0
1222.289,えっぐいw,1
1222.639,ジャンパのバグや,0
1222.655,クレイジーだぜ,0
1223.761,www,1
1224.095,ジャンプ押したら飛べるw,1
1224.3,www,1
1224.291,ぐっだぐだやｗｗｗ,0
1225.017,ありさん配信落ちてる,0
1225.556,ここでウーバー！？,0
1225.492,最高のパーティーw,1
1225.749,出たバグ笑,1
1226.566,騒がしすぎるってwwww,1
1227.324,wwwwwwww,1
1227.456,草,1
1227.876,えぐすぎるw,1
1227.806,えぐいてwww,1
1228.19,やっぱ落ちたて笑笑,1
1228.968,www,1
1229.433,たまにあるんよね,0
1230.191,え？,0
1231.028,最高に狂ってやがるww,1
1231.331,めちゃくちゃwww,1
1231.407,昨日一昨日よりもカオスやわw,1
1231.703,すり抜けたww,1
1232.049,wwwwwwwww,1
1232.337,www,1
1233.354,すり抜けバグだw,1
1233.876,ｗｗｗｗｗ,0
1234.234,wwwwwwwww,1
1234.428,クソワロwww,1
1235.271,wwwwww,1
1236.32,これほど最高のパーティーはない,0
1237.001,いい出だし,0
1237.388,だるまかわいい,0
1238.001,1人しかおらんって,0
1238.607,あれこの時間ウーバーいいんだっけ？？、,0
1238.649,AF Team ,0
1238.847,あーもう、めちゃくちゃだよ,0
1239.016,場所によって跳ばないバグがあるんだよねw,1
1239.836,いかれたパーティーで草,1
1240.354,えぐすぎｗ,0
1240.542,えぐいってw,1
1240.805,だるまさん1人wwww,1
1241.474,えっぐｗｗｗｗｗｗ,0
1242.167,全てがごちゃごちゃだw,1
1242.527,だるさんめっちゃ楽しそう,0
1243.118,楽しそうで何よりです,0
1246.218,ポータル引けば？,0
1247.065,www,1
1247.01,カスタムじゃなくて良かったww,1
1248.18,ひなーの！？w,1
1250.004,草,1
1252.297,ジャンパのバグですね！,0
1253.459,開始10分で2人消えることある!?w,1
1253.702,ソロ配信や,0
1255.033,ポータルで殺してあげよう…,0
1257.573,ありぴしっかり落ちたんだなこれw,1
1258.092,霊圧が・・・・・,0
1259.215,一人しかプレイしてないｗｗ,0
1260.326,だるまも消えるのか…,0
1261.209,ポータルで出す？？？,0
1261.264,ラグさか、ウーバー橘、だるま、大妖怪やん,0
1266.366,だるまさん頑張ってw,1
1266.871,おかえり,0
1267.709,ポータルで殺すしかない,0
1269.128,おかえり,0
1269.102,マジでイカれたパーティで草,1
1269.526,誘拐ポータルは？,0
1269.739,ポータル下にひこ,0
1271.149,ホントだポータル引こう,0
1273.123,おかえり,0
1273.689,２/3おらんくなるのえぐいてwww,1
1275.168,ポタで落とすべ,0
1278.235,ｗｗｗｗ,0
1278.166,スレスレにポータル貼ろう,0
1280.057,は？ww,1
1280.715,ｗｗ,0
1280.976,wwwwwwwwwwwwww,1
1281.166,wwwwww,1
1281.588,草,1
1281.672,wwwwwwwwwwww,1
1282.261,草,1
1283.097,草,1
1283.254,まさかのジャンパ側ｗｗｗ,0
1283.307,何これww,1
1283.296,オリンパスはたまにバグでジャンパ乗れない,0
1283.527,おかえり〜,0
1283.71,ヤバwww,1
1283.971,まさかのｗ,0
1284.432,wwwwwww,1
1284.49,そんなことある？,0
1284.669,判定がないｗｗｗｗｗ,0
1285.703,そっちかよｗ,0
1286.002,ジャンパが悪かったww,1
1286.19,ジャンパがバグってるw,1
1286.248,wwww,1
1286.368,！？,0
1286.863,！？！？,0
1287.325,wwwwwwwwww,1
1289.115,あ,0
1289.261,ジャンパバグ来たw,1
1289.828,なんでこうなるww,1
1290.305,あ,0
1290.997,え！？ww,1
1292.125,あ,0
1292.396,あw,1
1292.546,ｗｗｗｗ,0
1292.53,草,1
1292.619,ウーバーきちゃ,0
1292.613,えwww,1
1292.714,不良品やw,1
1292.791,急に飛ぶｗｗｗ,0
1293.102,お、いけたか,0
1293.074,ありぴの問題じゃなかった？,0
1293.389,いけたｗｗｗ,0
1293.823,あ,0
1294.314,今シーズンのバグ,0
1294.386,ええええええええええ,0
1295.13,飛んだw,1
1295.338,WWWWWWW,1
1295.372,あっ飛んだ,0
1295.542,急に飛ぶやんｗｗ,0
1296.333,wwwwwwwww ,1
1296.658,w,1
1296.818,www,1
1296.961,よし,0
1298.077,よし,0
1298.292,飛んだｗｗ,0
1298.356,ジャンパの方が死んでたw,1
1299.068,まじかよｗｗｗｗｗ,0
1299.192,www,1
1301.917,あｗ,0
1302.006,なんでwww,1
1301.954,WWWWWW,1
1302.111,とんだあああああああああ,0
1302.067,ジャンパが悪いパターンあるんやw,1
1302.326,あ…,0
1302.582,飛んだｗｗｗｗｗ,0
1304.661,いけたwww,1
1305.095,ジャンパw,1
1305.205,ナイス,0
1305.272,wwwwwwwwwww,1
1305.415,いけたwww,1
1305.893,imasoresru,0
1307.038,墜ちたｗ,0
1308.222,あ,0
1308.761,急に飛んだwww,1
1309.389,やっと飛んだ,0
1311.234,ぬけた？,0
1311.311,よしww,1
1311.56,こん:_hii::_naa:,0
1311.767,バナーすら消えたｗ,0
1311.939,草,1
1312.4,あ,0
1312.56,あ,0
1312.635,あー落ちちゃう,0
1313.039,完全に落ちちゃった,0
1313.67,すごい配信だw,1
1313.632,wwww,1
1314.516,あ、落ちた？,0
1315.676,切断,0
1315.601,おなか痛いwwww,1
1317.178,あ、飛んだってw,1
1317.985,ひなーのもバナーで運ぶ？,0
1318.595,あれ？,0
1318.615,あ,0
1321.763,おかえりなさい,0
1322.644,やべ,0
1323.308,冷静にボックス開けてる,0
1325.277,かえってこれんやつやね,0
1326.131,こん:_hii::_naa:,0
1327.714,これだめなやつ？,0
1327.8,完全に落ちたw,1
1333.83,これバナーできてるの？,0
1347.103,完全に落ちたなw,1
1347.247,全然もどってこんやん,0
1350.32,地下帝国、みやざき,0
1350.476,停電でもした？,0
1351.087,ありぴ:_sad:,0
1352.327,宮崎国だから...,0
1357.024,完全の落ちとる,0
1359.649,まぁ海挟んでるしな,0
1362.486,宮崎さん、、,0
1363.152,ペナルティ食らうんかなw,1
1365.029,クソ雑魚回線すぎる,0
1366.448,宮崎ディスった！？,0
1366.848,apexの起動で宮崎毎落ちた？,0
1367.492,今回線が兵庫あたりさまよってるの見かけました,0
1367.722,宮崎大変だな,0
1368.011,ありぴはフォトナの大事な公式大会で落ちた経験あります,0
1372.164,ありぴしんだ,0
1374.906,ケータイでも返せないのかな？笑,1
1380.357,帰ったこれるとは思う,0
1388.787,順位上げよ,0
1390.129,きえたww,1
