時間,コメント,ラベル,,,,
204.897,ハンドガン取れたね！,0,,,,
206.339,ストラップかわいいなw,0,,,,
208.218,相手チーム、アセント勝率100%だから、こっちも得意のアセントでどこまでやれるか楽しみやね,0,,,,
210.056,みんなコールがスマートになってる,0,,,,
212.041,なんか良くわからんけどコールかっけぇ！,0,,,,
213.613,今日もファイト！,0,,,,
215.615,空気美味しい,0,,,,
225.04,いいよー,0,,,,
227.704,応援してます！,0,,,,
229.82,声掛けが良い！,0,,,,
234.554,せーのめ,0,,,,
244.561,ファイト！,0,,,,
251.933,ナイス１１,0,,,,
254.369,えぐえいむ,0,,,,
254.984,nicee,0,,,,
257.918,ナイスチーム！,0,,,,
258.116,ピストル取れてるのいいねえ,0,,,,
258.649,みんなで合わせてかなっ　良い,0,,,,
258.662,最後のスクリム頑張ってー！みんなの努力が実るよう、応援してます！,0,,,,
261.803,良すぎ,0,,,,
261.985,今日いい感じか？,0,,,,
262.225,めちゃめちゃ良い感じや！,0,,,,
264.75,いいぞぉ！,0,,,,
265.72,リテイク綺麗だぁ！,0,,,,
266.808,いいぞ！ナイス,0,,,,
267.056,めっちゃええやん！,0,,,,
267.343,いいよチーム！,0,,,,
267.54,モク中エビオはマジで警戒されてそうww,0,,,,
268.833,こことれたあらあちぃ,0,,,,
272.404,エイムばちばちや,0,,,,
272.47,ピストルゲーミングだ,0,,,,
272.485,最終日かー,0,,,,
272.557,みんないい！,0,,,,
273.716,なんか安定してるな,0,,,,
273.896,強いやん！,0,,,,
274.306,エコ取れるのいいねぇ,0,,,,
274.621,ナイスチーム,0,,,,
274.814,声でてるのいいね！,0,,,,
275.209,コールと連携がいい感じすぎる；,0,,,,
275.821,かなり良い感じ！,0,,,,
276.907,ぱらりーや！,0,,,,
277.228,いい感じ！,0,,,,
278.384,ここ取れたらでかいね,0,,,,
280.59,めちゃくちゃええやん！,0,,,,
281.23,まじハンドガン取れてるのデカい！,0,,,,
281.243,きれっきれえいむ,0,,,,
282.77,頑張れぇぇえ！,0,,,,
283.382,アセント守りホントうまい,0,,,,
284.352,明らかにコールの質が高い,0,,,,
284.627,このままいけー！,0,,,,
285.491,ティムいいよー！,0,,,,
286.813,本番もコーチはバイの時話せるんですか？,0,,,,
288.358,ハンドガンラウンドでかいよ！,0,,,,
288.735,ピストルとれてるやん,0,,,,
289.593,うますぎる,0,,,,
290.32,めっちゃ良いチーム,0,,,,
291.904,かるびいいね,0,,,,
296.701,めちゃいい感じね！,0,,,,
299.289,報告もいいよー,0,,,,
302.009,かるびいいな,0,,,,
305.831,かるびコールめっちゃええやん！,0,,,,
306.458,選手おちんついて頑張れ～,0,,,,
310.488,アセントは毎回良い感じだから,0,,,,
310.628,本番は話せないらしい,0,,,,
313.442,苦手な守りで勝ててるのがでかい,0,,,,
315.897,エイム綺麗,0,,,,
317.522,報告いい感じ！,0,,,,
319.455,今日のかるびはいいな,0,,,,
327.683,みえてる！？ｗ,0,,,,
328.37,hnt,0,,,,
329.181,惜しい,0,,,,
330.472,あの距離見えんのか？,0,,,,
332.234,ないとら～,0,,,,
334.86,ロレ強くね？,0,,,,
340.074,惜しい,0,,,,
340.082,ろれつっよ,0,,,,
341.723,エイムぷりっちまった,0,,,,
343.603,ろれつよ,0,,,,
347.021,ロレのところか さすがに強いな,0,,,,
347.207,相手も上手い,0,,,,
347.232,ありがとうございます,0,,,,
349.264,ふぁいふぁいふぁい！,0,,,,
352.223,いい失敗,0,,,,
352.239,声出てるぞ,0,,,,
357.441,エコなんだよね,0,,,,
369.602,ここ勝てたら自信えぐいな,0,,,,
370.667,声でてる！かっけ！,0,,,,
372.207,お、ハンドガンとってますやん,0,,,,
374.354,ろれのちーむ全勝なんだっけ,0,,,,
378.91,スクリム頑張って！,0,,,,
382.613,本番はBO1だしな,0,,,,
387.569,いい感じよ,0,,,,
389.071,オーバーレイの裏のって戦績のとかだっけ？,0,,,,
393.544,がんばー,0,,,,
396.91,このチーム倒すぞ！,0,,,,
403.125,コールいいなあ,0,,,,
409.313,これまでBO1ならうちも全勝だから今回も頼む,0,,,,
409.701,かるび見違えたな,0,,,,
409.884,ド葛本社面白かったで！　スクリムも頑張れ！,0,,,,
410.054,落ち着いて,0,,,,
418.365,ナイスつよ,1,,,,
419.132,えつよ,1,,,,
420.31,つよっ,1,,,,
420.499,Awesome.,1,,,,
426.311,うまあい！,1,,,,
429.508,ちるちるちる,1,,,,
430.199,杖ええエエ,1,,,,
434.526,大丈夫だ！,1,,,,
436.054,えぐいよ,1,,,,
437.033,エイムあったまってる！,1,,,,
437.26,素晴らしい耐え,1,,,,
437.452,aimバッチリね,1,,,,
437.486,大丈夫,0,,,,
438.481,削られたなぁ,0,,,1984,
439.048,やっぱまだバラついとるか,0,,,,
439.662,いけるぞ がんばれ,0,,,,
449.726,ローレンにフィジカル負けてねえ！強い！,0,,,,
453.628,がちうまい,0,,,,
462.094,ないすないすないす,0,,,,
462.62,あぶねええｗ,0,,,,
463.664,ないすないす,0,,,,
466.181,ナイスナイスナイス,0,,,,
467.779,いいよー！,0,,,,
468.994,まじないす,0,,,,
469.059,落ち着いててナイスゥ！,0,,,,
470.964,nice!,0,,,,
474.41,葛葉のAIMあったまってるなぁ～！,0,,,,
475.929,nicee,0,,,,
476.147,守りいいね,0,,,,
478.231,ナイスじゃない！？,0,,,,
479.155,てぃむうますぎん？！,0,,,,
479.19,うまなってる,0,,,,
481.304,ヒバ強くない？,0,,,,
481.376,葛葉さんエイムぽかぽかだね～！,0,,,,
481.455,今の感じでいこう！,0,,,,
481.918,かっけーぞ！,0,,,,
482.608,3枚持ってくのえぐいて,0,,,,
483.687,対ヨロ,0,,,,
484.421,いけてるど,0,,,,
486.717,エイムホカホカです,0,,,,
487.344,ナイス耐えすぎた,0,,,,
487.473,葛葉が三人やってなかったらキツかったな,0,,,,
487.608,耐え過ぎだ葛葉,0,,,,
487.676,葛葉ナイス耐え,0,,,,
487.799,耐えたねえ〜！,0,,,,
488.615,コール良き〜！,0,,,,
489.951,ヒバうんめえな,0,,,,
491.965,ないてぃむ,0,,,,
493.12,３キルでかい,0,,,,
493.217,エイムあったまってるな,0,,,,
493.399,ローレンに勝て！ら,0,,,,
493.45,ローレンキラーやな,0,,,,
493.905,葛葉エイムが良いし、チームつよいぞー,0,,,,
495.507,強すぎやって,0,,,,
499.408,チームつよくなってる,0,,,,
500.022,今日いいよおお,0,,,,
502.968,ぐるぐる,0,,,,
503.734,葛葉強いぞー！,0,,,,
503.856,かるびの報告成長しすぎじゃない。？,0,,,,
504.521,ローレン潰したらいい感じや,0,,,,
506,緊張するーー頑張れーー！,0,,,,
507.547,Have fun.,0,,,,
509.752,読みと立ち回りいい感じ,0,,,,
512.167,まじでコールも流れもいい！,0,,,,
512.95,限界ポジの王子だからな,0,,,,
514.304,めっちゃ良い,0,,,,
515.93,足,0,,,,
516.411,ヒバが想像以上に強い,0,,,,
517.704,皆落ち着いてるしコールいい,0,,,,
519.625,対よろー！,0,,,,
519.834,にじさんじ最強,0,,,,
520.338,ロレにかてー,0,,,,
520.469,今きた最終日がんばれ〜！,0,,,,
520.758,かるび上手くなったなー,0,,,,
522.635,かるびちゃんほんとすごい,0,,,,
523.302,いけー,0,,,,
525.152,かるびさんナイスコール,0,,,,
527.326,カルビコールいい,0,,,,
530.795,報告がいいな！,0,,,,
530.956,かるびコールめちゃいいぞ,0,,,,
532.618,いい報告,0,,,,
532.658,かるびいいコールだ,0,,,,
534.8,かるびめっちゃ報告いい,0,,,,
535.337,かるびいいね,0,,,,
535.509,報告の成長がエグい,0,,,,
536.004,かるびのコールよくなりすぎだろ,0,,,,
536.425,かるびいいね〜,0,,,,
536.593,カルビ報告めっちゃ良くなってる！,0,,,,
538.13,かるび報告すごい,0,,,,
539.602,かるびさんもいい声でてる！がんば！,0,,,,
547.981,惜しい,0,,,,
548.28,クロスかー,0,,,,
549.464,かるびすげ,0,,,,
550.363,惜しい,0,,,,
550.712,ナイスよ,0,,,,
551.262,にじ最強は葛葉だろ！？,0,,,,
554.149,カルビぃー,0,,,,
555.853,かるびの手術成功したのか,0,,,,
556.876,相手のナイスカバーだ,0,,,,
562.381,強いな,0,,,,
563.868,どまです,0,,,,
568.416,対よろファイト！,0,,,,
572.31,ロレつんよ,0,,,,
574.107,さすがローレンだ,0,,,,
575.613,いいコール！,0,,,,
579.185,おしいよ,0,,,,
582.772,めっちゃコールいいな,0,,,,
585.429,いいよーないすー,0,,,,
586.676,KOROSS ,0,,,,
587.832,ろーれんさすがだな,0,,,,
588.989,コールめっちゃいいな,0,,,,
590.456,修正していくのよき～,0,,,,
592.819,やっちゃえやっちゃえｗ,0,,,,
594.13,やつまちまえー！,0,,,,
595.879,守りいいぞ,0,,,,
598.298,応援してる♡,0,,,,
599.014,大丈夫！行けてるよ！,0,,,,
600.211,今日みんなチルだね,0,,,,
603.8,ファイティング,0,,,,
609.223,応援してるよ〜,0,,,,
610.006,いけー,0,,,,
612.036,ganbare!,0,,,,
619.049,おおナイス,0,,,,
619.971,リーダーナイス！,0,,,,
626.281,水無瀬ないす！,0,,,,
627.458,チャームきになるなぁ～,0,,,,
628.965,男待ちｗ,0,,,,
630.665,どまよん,0,,,,
631.236,リーダーつよい！,0,,,,
631.435,実りのあるバイ時の報連相いいな,0,,,,
631.749,ないすよ！,0,,,,
632.458,ふぁいてぃん〜,0,,,,
636.544,応援してるよー！,0,,,,
638.502,いけー,0,,,,
645.428,のせさんつええな,0,,,,
646.407,おっし,0,,,,
647.348,おしいおしい,0,,,,
648.893,ないとら～,0,,,,
649.441,どまです,0,,,,
650.094,惜しい,0,,,,
650.996,まじかよのせさん,0,,,,
651.419,どんまい！,0,,,,
651.939,おっしいい,0,,,,
651.978,おっしい,0,,,,
652.679,おっしいい,0,,,,
655.76,おしー！,0,,,,
656.555,おしいおしい！,0,,,,
657.435,おしいぞ,0,,,,
659.493,おしいおしい！,0,,,,
659.955,バラバラ,0,,,,
660.956,クラッチクイーンすぎる,0,,,,
661.091,おしいぞ,0,,,,
661.146,大丈夫だよ～,0,,,,
661.212,いいチャレンジだよ！,0,,,,
662.426,ラプ様判断わるくなかった,0,,,,
664.067,どまです,0,,,,
665.856,勿体ねー,0,,,,
665.968,どんまいどんまい,0,,,,
666.605,葛葉ほんまに勝てる,0,,,,
668.48,しゃーなしやねー,0,,,,
669.608,今のアカンか,0,,,,
670.26,大丈夫,0,,,,
672.232,いいよー,0,,,,
675.453,頑張れ♡,0,,,,
676.75,まじで判断のスピード勝負やね…！惜しい; ; ,0,,,,
677.307,いや昨日より全然いい,0,,,,
679.016,報告めっちゃいい,0,,,,
680.119,本番コーチ喋れないのに、こんな喋ってて大丈夫か？,0,,,,
680.347,パンクしちゃっただけや,0,,,,
681.246,切り替えや,0,,,,
681.922,今のはさすがに運が悪かったw,0,,,,
682.303,のでさんつっよ,0,,,,
683,やっぱのせさん強いな,0,,,,
683.35,かるびエイム集中してたね。しゃーない,0,,,,
685.05,集中してるからしゃーない,0,,,,
685.657,悩むのはしゃーなし,0,,,,
686.356,かるびが武器拾って抜き返したかったね,0,,,,
686.861,かるび頑張ってるの伝わるからマジで勝ってほしい,0,,,,
687.453,勝ってくれー！,0,,,,
688.168,ここがいい勝負してるの個人的にめっちゃ嬉しい,0,,,,
692.033,がんばがんば！,0,,,,
696.813,ナイスワン,0,,,,
698.725,ないす耐えｗ,0,,,,
702.131,水無瀬強い！,0,,,,
703.088,耐え偉すぎだ,0,,,,
703.854,ファイト－！,0,,,,
706.957,足音,0,,,,
708.056,ナイスワン,0,,,,
712.165,ろれつえ,0,,,,
720.944,正直BO1は勝てると思ってる,0,,,,
726.01,ラッシュは止めれんな〜,0,,,,
729.638,GJ,0,,,,
730.63,ラプ様ー！,0,,,,
732.031,ラプちゃん！,0,,,,
732.314,つよい！,0,,,,
734.717,ほんまうまくなってる,0,,,,
735.038,うまいうまい,0,,,,
735.435,ラッシュ多めだ,0,,,,
736.37,おっしい,0,,,,
738.329,おしい。,0,,,,
738.635,おっしい～,0,,,,
738.656,おっしいい,0,,,,
739.386,おっし,0,,,,
739.928,ロレ t,0,,,,
740.425,おしー！,0,,,,
741.385,おっしい,0,,,,
741.757,惜しかった,0,,,,
742.097,つよい！,0,,,,
742.145,ラプ様強かった！,0,,,,
742.231,ラプ様うまいぞ,0,,,,
743.486,ラプちゃん惜しい,0,,,,
743.943,おっしい,0,,,,
744.134,おしいおしい,0,,,,
746.402,これ5番手の実力じゃないな,0,,,,
746.978,おっしい,0,,,,
747.107,おしいぃー！,0,,,,
748.361,ちょっとチルしたいな,0,,,,
748.464,攻めうまいな,0,,,,
749.329,ナイスです,0,,,,
749.669,まじでおしい,0,,,,
749.725,めっちゃ強かったよ,0,,,,
750.167,おっしぃ〜,0,,,,
754.304,ラプ様！,0,,,,
754.548,ラプちゃんnt,0,,,,
754.994,ラプさん強い,0,,,,
755.354,惜しいんだ,0,,,,
758.015,ラプ様最高,0,,,,
760.475,葛葉さん頑張れ♡,0,,,,
761.115,ラプ様強いな,0,,,,
761.74,おしいねー,0,,,,
762.016,みんなエイムいいねぇ,0,,,,
762.021,フィジ負けてないよぉ,0,,,,
762.163,抜きポジって抜けんのかな,0,,,,
763.248,取られてるの全部おしいからいけるぞ,0,,,,
763.218,のせさんはつよいよ,0,,,,
765.075,惜しいしのせさんつよいわ,0,,,,
766.392,ラプ様強いな,0,,,,
767.743,ラプ様うまい,0,,,,
768.099,まだまだこっからよ〜,0,,,,
771.175,合わせられたらまじで強いな！,0,,,,
772.757,あと一歩が…,0,,,,
774.358,落ち着いて,0,,,,
775.709,パラリーヤ好きや,0,,,,
776.219,オペ貯金したいね,0,,,,
776.215,てかサムネメチャいいね,0,,,,
778.739,モク上手くなってるな,0,,,,
783.248,ラプ様うまい,0,,,,
784.497,葛葉頑張ってくれ,0,,,,
788.893,相手めっちゃラッシュするな,0,,,,
815.569,ありゃそこいたのかぁ,0,,,,
817.544,ゴリゴリ来るね,0,,,,
817.768,個々のフィジ強いなー相手,0,,,,
820.601,合わせられればなあ,0,,,,
824.803,がんばってー！,0,,,,
828.154,ひば上手くね,0,,,,
828.631,つぇ,0,,,,
831.528,フィジつえーな,0,,,,
832.951,強いなぁ,0,,,,
833.604,nt nt,0,,,,
836.619,大丈夫,0,,,,
836.889,ファイトー！,0,,,,
837.22,巻き返せる巻き返せる,0,,,,
839.216,ひばつええ～,0,,,,
841.369,これティア5まじ？笑,0,,,,
843.818,ひばほんとにtear5か？w,0,,,,
848.785,流石に優勝候補か,0,,,,
848.911,みっちーだぞ、通るまで通すぞ,0,,,,
849.454,フィジが強いからなぁ,0,,,,
853.359,タイムアウトないの？,0,,,,
853.552,ファイトー！,0,,,,
854.461,がんばれ…！,0,,,,
854.549,今日ナイフシンプルだな,0,,,,
855.978,ガンバ〜,0,,,,
858.316,これ相手セット見せる気ない？固まり過ぎやし,0,,,,
859.064,全員でいきたいね,0,,,,
864.053,Have fun.,0,,,,
874.367,足音,0,,,,
874.384,毎回葛葉と逆に来るなｗ,0,,,,
875.33,葛葉IGLいけるんじゃね？,0,,,,
878.038,全然振ってこないな,0,,,,
883.913,ういーす,0,,,,
893.75,いけるんじゃね,0,,,,
898.909,がんばー！,0,,,,
916.048,5人揃ってのリテイクだ～,0,,,,
922.572,ないす１,0,,,,
925.658,ないすよ,0,,,,
926.232,ないとら～,0,,,,
932.211,流石に強いな,0,,,,
935.921,みんな同じとこ見てたなー今,0,,,,
938.954,つえーな,0,,,,
942.56,おしいおしい,0,,,,
943.247,相手フィジカルつっよ,0,,,,
944.016,まだ全然大丈夫,0,,,,
945.677,フィジ高いな,0,,,,
946.281,nrt,0,,,,
947.918,いい勝負してるよ！いけるぞ！,0,,,,
948.284,チル,0,,,,
948.301,結構混乱するねー,0,,,,
948.679,つぎつぎ♡,0,,,,
949.987,まぁまぁ,0,,,,
953.233,さすがにtier1か,0,,,,
954.673,ﾋﾄﾂﾋﾄﾂな,0,,,,
960.172,1本断ち切ろう,0,,,,
962.933,あと2日ほしいな,0,,,,
966.507,頑張れぇぇ,0,,,,
968.66,さすがに全勝してるだけあるなー,0,,,,
969.514,流石に優勝候補か,0,,,,
973.345,相手はフィジ以上に理解度がそれぞれ高いからなしょうがない,0,,,,
978.07,ないわん,0,,,,
982.129,ないす１,0,,,,
985.204,ナイス一枚,0,,,,
985.46,ナイス1,0,,,,
986.506,水無瀬！,0,,,,
987.891,普通の動きに変えてきたｗ,0,,,,
989.082,ナイスウルト,0,,,,
990.175,今日下馬評1番強いチームとなんだね,0,,,,
992.054,ウルト神かよ,0,,,,
992.054,水無瀬さんナイス！,0,,,,
992.326,でっっか,0,,,,
993.651,一枚ナイス,0,,,,
1000.573,リーダーナイスすぎ,0,,,,
1002.383,いい削り,0,,,,
1003.179,ウルトナイス,0,,,,
1003.933,ないすないす,0,,,,
1004.276,よく一人もってたったな,0,,,,
1005.89,人数有利やで,0,,,,
1007.611,かるびw,0,,,,
1025.472,つよお,0,,,,
1025.916,下,0,,,,
1026.721,バラバラだ,0,,,,
1027.689,いやーうまいな,0,,,,
1029.857,一人一人当たっちゃった,0,,,,
1032.663,シンプルに強いな,0,,,,
1032.767,かるびやばすぎねーか,0,,,,
1033.549,四天王方式やな,0,,,,
1033.771,ロレつよ,0,,,,
1033.934,きちいなあ,0,,,,
1034.161,こっから負けるか,0,,,,
1034.38,ろれえぐいなー,0,,,,
1040.545,ローレンうんめえな,0,,,,
1042.524,設置まで待ってよかったな,0,,,,
1042.99,このナイフかっちょいいな,0,,,,
1044.925,つよっ,0,,,,
1047,今のはフィジ,0,,,,
1047.791,人数有利こっちか勝負しちゃったなぁ,0,,,,
1048.038,フィジえぎ,0,,,,
1051.849,合わせれてたらな,0,,,,
1053.912,士気挙げよう,0,,,,
1055.132,不意打ちに要注意,0,,,,
1058.696,フィジカルゴリ押しされてる,0,,,,
1058.854,まyちょ,0,,,,
1063.561,チムの練度が違うね,0,,,,
1063.912,えら,0,,,,
1068.906,えら,0,,,,
1071.273,リスナーは黙って見てろよ,0,,,,
1072.682,どんまいどんまい,0,,,,
1072.959,どまです,0,,,,
1072.948,大丈夫だよ～！こっから！,0,,,,
1074.501,チームがんばれ！,0,,,,
1075.024,大丈夫大丈夫♡,0,,,,
1075.228,話せてないかも、情報が,0,,,,
1077.54,バラバラであたるの勿体ないな,0,,,,
1081.283,全部惜しいんよ がんばれ！,0,,,,
1082.35,おしいな,0,,,,
1082.755,強いな,0,,,,
1083.551,どまです,0,,,,
1084.582,がんばれ…！,0,,,,
1084.712,四天王戦か,0,,,,
1088.565,ずっと四天王よな,0,,,,
1089.388,どんまい,0,,,,
1089.878,どんまいしか言えん,0,,,,
1091.867,早めの判断ね,0,,,,
1093.755,がんばれ、,0,,,,
1095.687,次はラッシュか普通かｗ,0,,,,
1095.805,nt！応援しようぜ,0,,,,
1095.814,いけるよ！がんばれ！,0,,,,
1099.285,nt nt,0,,,,
1099.566,おぺがんば！,0,,,,
1099.846,オペいいねぇ,0,,,,
1100.315,がんばれみんな,0,,,,
1103.093,いい武器背負ってんね,0,,,,
1103.44,ふぁいてぃーん!,0,,,,
1105.37,背負い手がんばれ！,0,,,,
1105.645,ファイトーー,0,,,,
1106.217,相手フィジカルつえ,0,,,,
1107.917,見守るしかない,0,,,,
1108.935,楽しんでけ〜！,0,,,,
1109.208,ドン座が一番イラン,0,,,,
1110.479,まだまだ！,0,,,,
1110.945,まあ攻めマやし,0,,,,
1112.065,背負うか！,0,,,,
1112.206,みんながんばれー！,0,,,,
1112.284,いけー,0,,,,
1116.035,GO！,0,,,,
1117.039,ラッシュ多いのにミッドオペ刺さらんくない？,0,,,,
1119.553,蜻蛉軍団ふぁいてぃん！,0,,,,
1121.014,勝てる勝てる♡,0,,,,
1127.372,これつえーよな〜,0,,,,
1128.599,スピード感が今までとちげぇな相手,0,,,,
1130.459,迷わずに,0,,,,
1131.388,ドン座,0,,,,
1138.364,ヘブンにいいイメージないな,0,,,,
1143.977,カバー早いな,0,,,,
1144.388,さすロレ,0,,,,
1146.486,うええいｗ,0,,,,
1147.122,蜻蛉軍団がんばれー,0,,,,
1150,まだこっからよ,0,,,,
1150.12,ないすわん,0,,,,
1158.039,オペの撃ち方ｗ,0,,,,
1160.086,ロレー？,0,,,,
1161.775,ロレんとこはロレ自身がコーチしてるレベルだからな。間違いなく今大会最強格。,0,,,,
1161.91,キープか？,0,,,,
1167.167,キュン,0,,,,
1170.08,葛葉神成水無瀬の誰かがもう確定させたいよな動きを,0,,,,
1171.199,ナイスよ,0,,,,
1171.308,ないかば！,0,,,,
1171.99,うまかった,0,,,,
1172.024,ないすだ,0,,,,
1175.03,まま,0,,,,
1175.74,おペー,0,,,,
1176.215,ないとら～！上手かった！,0,,,,
1178.966,おぺ；,0,,,,
1179.256,オペがああ,0,,,,
1179.397,どま！ないす！,0,,,,
1179.683,ナイスぅー！,0,,,,
1180.344,もっとバックよ,0,,,,
1180.848,頑張れ♡,0,,,,
1180.93,おっし,0,,,,
1181.891,削りナイスよ,0,,,,
1182.327,さすがに潰しに来た,0,,,,
1182.577,勝てるよ,0,,,,
1183.147,ABO拾ったやろなぁ,0,,,,
1184.313,おしかったー！,0,,,,
1186.209,オペも落としにきた,0,,,,
1186.259,攻めでこれはやべえ,0,,,,
1188.106,ないけずよ,0,,,,
1189.015,やれてるよ,0,,,,
1192.014,士気上げよ,0,,,,
