コメント,ラベル
やりたいことやっちゃおう,1
みんな自信失って消極的になってるのか…？,1
ものは試し！、,1
まじで頑張れ〜！,1
やってみよう！,1
攻めてこうぜ,1
声出しが大事なんやね,1
頑張れーー！,1
俺がやる！,1
声出してこう,1
大事だね！,1
こことは初戦当たらないからまぁいい,1
いこういこう！,1
葛葉がんばれ！,1
めっちゃ間違えような,1
ふぁいと,1
偉いよ,1
エゴでいいんや！,1
バインドがきたｗ,1
その構成とはｗ,1
水無瀬の声がｗ,1
みんな、背負いすぎないでね…蜻蛉軍団WIN！,1
弱気ｗｗ,1
蜻蛉軍団WIN,1
渋ハル二回目の神視点か？ｗ,1
渋ハルどしたｗ,1
渋ハルまたきたけどw,1
試合早すぎたかw,1
笑笑,1
カルビ姫？ｗ,1
ラッシュに強気にちらちらｗ,1
戦略的w,1
練習付き合わないの笑笑,1
レディじゃないんよなwwｗ,1
レディとはww,1
ムチャクチャｗｗ,1
なよなよw,1
無茶苦茶ですよ草,1
相手下げるなよーw,1
葛葉もなよるときあるよねw,1
スピード重視ねw,1
さっき言うっていってたのにｗ,1
かるびオーダー？ｗ,1
それでいいがでたw,1
しょうもなくw,1
メンタルきてる？w,1
ヨルなんだよw,1
蜻蛉軍団WIN！,1
やるんだな！？いまここで！w,1
相手の構成がおかしいww,1
絶対夜気になってきたやろ笑笑,1
ヨル楽しみ！w,1
Cw,1
Cどこやねんw,1
スカイの癖がw,1
スカイが身に染みてるｗｗ,1
スカイの癖がｗｗ,1
スカイの癖がｗ,1
それおもろw,1
んふふwスカイの癖やねw,1
献身的w,1
体がスカイにw,1
んw,1
いこいこいこ！w,1
もっこりやめてw,1
勢いつけてけ！笑,1
もっかいいくか草,1
逆に同じ戦法の方がこのチーム分かりやすくはあるかもねw,1
ロレさんがスカイなんだｗ,1
選手ｗ,1
かるびww,1
もっこり本当草,1
みんな迷子かわいいw,1
デフォルト全然浸透してないの草,1
あなたww,1
あたしBロンなんか草,1
もっこりやめw,1
もっこりw,1
いいねえその出るのｗ,1
カバーの鬼やんヤバすぎ笑,1
かるびｗｗ,1
今のピーク意味わからんww,1
さすがにｂ厚くせんのかなｗ,1
水無瀬さん考えること少なくなってフィジえぐいことなってない？w,1
判断が早い！,1
いいねー！,1
いいやんいいやんｗ,1
コールいいねぇ,1
いいねがんばれ！,1
いい報告,1
あたまでかい,1
おもろくなってきたよー,1
孔明おるて,1
名探偵？,1
いいぞいいぞー！,1
脳みそ回ってんなぁ,1
頭よ,1
判断が速い！,1
ふぁいとだ,1
いいよ判断早いよー,1
いいコール！,1
めんたんてん,1
声出てかっけーよくずは,1
いい,1
ドリフトきたｗ,1
フラッシュの数えぐｗ,1
そこおったんやｗ,1
どっちいくｗ,1
ヨル他チームいないだろうしなｗｗ,1
ヨルでイキイキしてる葛葉いいねw,1
ラプ様やめてw,1
ラプ様ｗ,1
荒らしチームだぜこれw,1
ｂ流石に厚くしたくなるってｗ,1
ヨルはそりゃそうかｗｗ,1
ヨル刺さってんの草なんだ,1
エイムがどっかいったｗ,1
どんまいｗｗ,1
いいよｗ,1
ナイスナイスw,1
おみやげもらってこｗ,1
いいねww,1
お土産お土産！w,1
ただでは死なないぞっｗ,1
おみやげww,1
いいねいいねｗ,1
お土産かわいいw,1
かるび選手いいねｗ,1
おみやげないすw,1
処された笑笑,1
やなモクｗ,1
水無瀬さんさすがｗｗ,1
相手なんでピークしてくるの？w,1
nt w,1
あのモク嫌すぎｗ,1
それは死ぬわｗ,1
まあまあ長いよねｗ,1
楽しそうで草,1
うまーーい,1
つよすぎ！,1
つえーーｗ,1
わああおお,1
つよい！,1
うわないす！,1
うめえーー！,1
わぁお,1
つーよｗ,1
天才すぎる,1
がんばれ〜ないすう！,1
うますぎです,1
いい！,1
おお強すぎい,1
すんごい,1
IGL失敗しても自信満々に行こ！,1
いいじゃん！,1
きたきたきたきた,1
フィジ,1
いいじゃん,1
神連携！,1
葛葉ウルト溜まってたぞw,1
粉砕してて草,1
勝てんのよ！勝てんのよ！勝てんのよ！,1
つよｗｗ,1
フィジカルがなんだって？,1
今の凄いな,1
なんだいまの！？,1
まあ当たり屋だけどもｗ,1
当たり屋いいぞー！,1
それでええねん,1
ティムいいやん！,1
よりはやいねー,1
それでええんや,1
あなたが強いだけ,1
いいこと！,1
うま！ないす,1
フィジ強いんだから！,1
フィジでも勝てるｗ,1
ナイスよー,1
つよすぎ,1
大事だよ,1
フィジでも負けてねえぞ！,1
それができれば全部おｋｗ,1
シンプル打ち合いで勝っただけｗ,1
かるびとくずはが上手く補完し合えると火力えぐいな,1
それでええんやｗ,1
フィジで破壊よ！,1
葛葉水無瀬かるびの圧えぐいなw,1
かちゃええねん！,1
強いね,1
それでいい,1
こっちも人数かけてるからええんよ,1
勝ちゃええねん,1
それもアリw,1
シンプル強い,1
屈しないイイゾ～,1
作戦の提案めっちゃいいやんｗ,1
フィジカルでぶっ壊せ,1
みんな強いのよ、負けないんよ！,1
あったけぇ～,1
ここはフィジで破壊,1
当たり屋うおお,1
当たり屋いいぞ,1
強いし最高だけど読まれてたね,1
フィジつよいよー！,1
数の暴力はつよいよー！,1
このチームフィジカルはほんと自信持っていいんだから！,1
フラッシュ避けるのもその後勝てるのも最高だ,1
フィジでも勝てるなら一番いいのよ,1
負けてねぇよ！負けてねぇよ！,1
フィジカル勝ちやね,1
今の球脳死で取ってたよなwwa,1
フラッシュ避けが良かったな,1
大丈夫や,1
勝てばええんだわ,1
面白いねぇ,1
いいことよー！こっちも強いんだから！,1
フィジつよい,1
つまりフィジカルでは負けないってことよ,1
全部、壊して,1
雰囲気最高や,1
フィジを活かした動きでしょ？w,1
エイムで引っ叩けば良い！,1
マジ迷って人数差つけられるより当たった方がええんや,1
爆発力だ！,1
フィジ強かったなw,1
フィジカルは負けてないってこと,1
フィジ負けてないの強い,1
フィジはすべてを解決する,1
勝ちゃぁええねんw,1
火力で押すのが一番強い,1
こういうので勝てれば相手次同じことしにくいからね,1
今のフィジカル毎回頼む,1
負けるまでこれでいいやん,1
っぱフィジよ,1
かちゃええね　だすね,1
フィジ信じてこ！,1
構成的にはガツガツが正解か,1
フィジカル差あるはずなのにフィジカルでボコすのウケる,1
それでいいんだ！,1
フィジで勝てるならそれでいいのよ！,1
ごーごー！,1
ゴーゴー！,1
相手も分かんないから当たりに来てくれる,1
ごーごーごー！,1
葛葉がキルするとコメ欄も盛り上がるね,1
フィジカル押し付けろー！,1
壊してけ！,1
当たりあいで勝てるってことよ,1
自信満々でいこー！,1
フィジ磨けば磨くほどいいんだから,1
フィジカルで勝てるならレミングスオンリーでもいい疑惑あるか,1
フィジ破壊が一番対策できないからなｗ,1
フィジ負けてねぇんだよなぁ！,1
フィジでも勝てるぞ,1
フィジカルで本番勝てるんならそれでいい,1
フィジよ結局,1
フィジカル活かしてくの強いw,1
ナイスチームです,1
葛葉の役割は「破壊」,1
nicee,1
ナイスよ,1
フィジ負けてないよ,1
つよい!,1
ぐちゃぐちゃにしようぜｗｗ,1
各地つつくｗ,1
葛葉のIGL全部GOで気持ちいいなw,1
モクいっぱい吐けｗ,1
俺ごと貫けｗｗ,1
あれ嫌いｗ,1
そろそろエビオのオーディン来そうでこえーw,1
ジャッジこえーｗ,1
ジャンピしてるのにその後ろでピークｗ,1
フェイクしたんｗ,1
激しいぜｗ,1
キープ頑張れラプ様,1
バカ！？,1
どんどんやってこー！,1
ゆけゆけー！,1
攻めには攻めを,1
いける！,1
バカが草,1
ラプ様がんばれ,1
いける！w,1
ばかがｗ,1
ゆうて惜しかった,1
馬鹿が草,1
言葉つよww,1
ラプ様いける！,1
ばかがw,1
できるできる！,1
ラプ様w,1
もっといえｗ,1
たすかる,1
ばか！？w,1
ばかがー,1
ACEACE,1
バカがｗ,1
いうねえw,1
バカがよぉ！,1
バカがw,1
ラプ様がんばれ！,1
最初あんな刺さってたのに、普通に相手凄いな,1
ラプ様かわいい,1
総帥ww,1
みんないけるー！,1
罵倒たすかるわ,1
YMD,1
ラプ様いいぞ～,1
ラプ様が言うとかわいいw,1
ラプちゃんいいね,1
あたかも乗れているかのような顔,1
ナイスキープ,1
フリｗ,1
乗ったフリｗ,1
エイムあったら全然あったな今,1
ラプ様、いいねｗ,1
ラプ様かわいいw,1
ぴっかぴかw,1
一生まぶしいｗｗ,1
楽しいのが1番や笑,1
鳥にフラッシュw,1
フラッシュが犬にｗｗ,1
すばやくエントリーそれがヨルのいい所の一つｗ,1
ラプ様ww,1
きゅぴちゃんw,1
頭の中w,1
心の声が、聞こえてたw,1
いるｗ,1
なんかヨルが頼もしく見えるｗｗ,1
ないすボム落ち,1
大成功や,1
目の前かよｗ,1
ナイス連携,1
ささｔったああ,1
刺さったｗ,1
おお〜,1
ないすすぎ！,1
勢いすごい,1
せーのないすー！,1
刺さって草,1
うぉおお,1
うおおとおお,1
刺さればええねん,1
目の前w,1
せーのが最強なんや,1
いけーいけーいけーいけーいけー,1
刺さってて草,1
カバー意識ナイス,1
すげー！,1
あまりにも逆にすぎてささった,1
せーーの！,1
あつすぎるって,1
今のアドリブナイスやｗ,1
つんよw,1
ロレンつっよw,1
ロレ強すぎやろw,1
わたわたw,1
エイムが…笑,1
ちょっと強すぎるなｗ,1
ロレさんどこｗ,1
ないすぅうう！,1
ぐるぐるしてるw,1
わおー,1
しゃあっ！,1
ないすー！うますぎ！,1
ナイスうう,1
ないすー！ww,1
ぐるぐるしてた,1
おもろかったなｗｗ,1
うまああい！,1
ロレこええ,1
ろれえ,1
楽しいな！,1
今のおもろすぎるだろ,1
ぐるぐる,1
いろ４ｓ,1
追いかけっこ笑,1
バケモンやw,1
Nice,1
とった！,1
ロレ,1
ぐるぐるw,1
きゅぴちゃーー！,1
ガチナイス,1
緊張感えぐいw,1
ローレン強w,1
まじでローレン化け物すぎる…,1
いろはすさんつええけどチームで撃ち合えてるよ,1
ぐるぐる草,1
ろれ強かった,1
でも勝ってんだから！,1
イロさん,1
メリーゴーランドやった,1
イモータルやからな,1
神視点見たいw,1
ロレw,1
おもしろww,1
いろよんえすｗ,1
ないすーーって普通に叫んだw,1
呼び方笑,1
バターなるｗ,1
仲良くくるくるしてたねｗ,1
逆に深いモクナイスだったw,1
ローレンは規格外ということでw,1
いろ4sはもはや誰w,1
そのモクはフナがやってたｗ,1
わああｗ,1
キモすぎワロタｗｗ,1
あるのはドラフトのみｗ,1
エビオマジでさあｗｗ,1
きたかｗ,1
エビオらしいやｗ,1
めっちゃいたｗｗ,1
なんかいたなｗ,1
逆にショーティされたｗ,1
かみあったｗ,1
モク中の住人ｗｗ,1
ABOのキモ待ち来た〜w,1
ひっろｗ,1
たしかにｗ,1
住所がモク草,1
ひろいw,1
相手と一緒のことしてるんよ笑笑,1
寄りが早いのいいわあｗ,1
昨日のaの悲鳴が嘘のようｗ,1
かわいいティムだなｗｗ,1
ファンがw,1
RBｗ,1
mako好きやなｗ,1
モクのプロ好きなんだねw,1
つええぞぉ,1
フラッシュリーアやば,1
つよww,1
これつよ,1
つんよこの作戦,1
つっよいｗ,1
足音,1
刺さってるうう,1
これきもちえ〜,1
これB4A5守りやんwｗｗ,1
ぶっ刺さてら,1
リーアフラッシュがん刺さりやんけ,1
作戦破壊すぎる,1
いいねええ,1
うっっまい,1
人数有利よー！,1
よるつよ,1
みんな元気で最高や！,1
ナイスだねぇ,1
流石ノーカウンター,1
最協してる！,1
わかる、かるびの笑い声聞くと安心するw,1
うまいー,1
リーアフラッシュつっよ笑,1
対策できたーー,1
ほｗｗ,1
damn,1
うぇえ,1
ファー！,1
ｎ,1
エグい,1
これc,1
うぇ！？,1
抜いたすげえ,1
すげ,1
マジで？,1
やった？,1
つこうたか！？,1
うおお！？,1
そんなんチートや！w,1
えっ,1
やってる,1
流石に草,1
マ？,1
使った？,1
やったなw,1
見えるくん.exe,1
みえる,1
いまのすげー！,1
んふふwわかってるよw,1
ほぼチート,1
c,1
えぐー！,1
びっくりしたｗｗ,1
ナイス！？,1
ミニマップよね？,1
あれ！ヨルになってるやん,1
こーれやってますｗｗ,1
やったか！？,1
やったな、通報するわ,1
ちー,1
やったんだ？,1
ミニマップでわかったのか？ｗ,1
さすがにつこうたか,1
たった,1
見える君exe,1
やってるww,1
こーれcです,1
チート使ってマス！,1
つこうた,1
ないすすぎ,1
葛葉お前ついに…,1
最高や,1
ウォールハック？,1
さすがにこれ買ってます,1
見える君.exe,1
それをやっちゃうのねｗ,1
やってんねぇ！,1
やっちゃったんだね,1
ミニマップ見ているっぽかったしなw,1
チー、ト,1
みにまっぷな,1
通報しました,1
言い訳はやww,1
足みえ草,1
まずチートを疑われる心配ｗｗ,1
ミニマみる場面か今の,1
マップやな,1
消せ消せ,1
壁抜き,1
アーカイブ消せー！,1
く、くずは？,1
saving,1
俺嬉しいよ葛葉,1
疑ってねぇよw,1
買ったか…,1
やっちゃったんだ,1
ついにやったんか,1
やっちゃったんだあ,1
やっちゃうのがすごい,1
守りってドリフトあんまり使わないんだｗ,1
ウォールハック草,1
てかくっつくと足みえるんかｗ,1
香ばしいｗ,1
ミニマップで見えてても正確すぎるべw,1
まじかｗｗ,1
これ本番でいきなり使った方が良かったなw,1
余裕w,1
実質Ａ守り刺さってる〜w,1
じゃあw,1
ロレのヴァンダルだw,1
遅くないｗ,1
おもれ～ｗ,1
４はもう適当打ちだけでハチの巣になりそうだなｗ,1
ごりごり空爆やんw,1
エビオｗｗ,1
攻めジャッジｗ,1
ジャッジが宙を舞ってたｗｗ,1
ジャッジ好きすぎやろw,1
kuzuha is actually insane he pops off without even realizing it ,1
賞味期限ｗｗ,1
賞味期限w,1
短いよねｗｗ,1
強すぎて草なんよー,1
まずういｗ,1
してたねｗ,1
すごかったねw,1
ほんとだｗ,1
らぷちゃんｗ,1
警戒するっしょｗ,1
スリップバックなw,1
貪欲ｗ,1
いたｗ,1
反応あるのにとって草,1
なのにとるなｗｗ,1
取るんだよねw,1
えらいなｗ,1
大惨事w,1
ローレンうめーw,1
さすがに咎めてきたw,1
のせさんベイトにされて草,1
うーんロレ強いねw,1
追い込み漁w,1
出るタイミング合わんなw,1
でこいｗ,1
死んでも残ってんだw,1
言ってくれｗ,1
それはほんとに言ってくれw,1
言ってはなかったw,1
目も何もないw,1
棺桶w,1
挟まれたw,1
ウルト溜めろおおｗ,1
きったああｗ,1
やれんの？w,1
めっちゃおるｗｗ,1
待ってるｗｗ,1
キツイな今のはｗ,1
めっちゃいるｗｗ,1
しゃあねえｗ,1
めっちゃいたｗ,1
ちゃんと警戒されてたなｗｗ,1
めっちゃいたw,1
めっちゃいたww,1
めっちゃいた笑,1
追い込み漁業みたいだったw,1
サソッテタｗ,1
いるなぁw,1
さすがにねｗｗ,1
えらすぎるw,1
めっちゃ見られてて草,1
偉すぎｗ,1
護衛がw,1
えぐい量いたww,1
多いw,1
手厚いフォローがあったw,1
めっちゃいたなw,1
めちゃくちゃいたw,1
のせを守れええw,1
めっちゃ厚いw,1
めっちゃ後ろにいて草,1
めっちゃいたなぁww,1
スキル無駄遣いしなかっただけ偉いからいいよｗ,1
3人くらいいて草,1
保護者w,1
追いかけっこしてたなw,1
うーんw,1
福利厚生ｗｗ,1
敵ながらw,1
どまや,1
おっしい,1
んわぁおしい～！,1
；,1
くっそ,1
ｳﾜｧｰ！ｗｗ,1
おしかった,1
ダイナミックエントリー,1
時間ああ,1
くー！,1
うわぁ,1
それ駄目なのか,1
くー,1
なんかめっちゃおりてきた！,1
どまい,1
一発目外したなw,1
ナイスOT！,1
いのちだいじに！,1
頑張れチーム,1
いきろ！,1
88,1
でか！,1
コールいいね,1
うわぁぁあ,1
ナイスコール,1
ないすでかい,1
すげえぞ！,1
でかすぎだ,1
ないす！うま！,1
生きてて偉い！,1
おもしろくなってきたw,1
おもろすぎるこの構成ｗ,1
最初圧かけたからねw,1
ヨルとの鬼ごっこ嫌だろうなw,1
もういいw,1
今のエントリーガチでアツい,1
ナイス設置,1
落ち着けよまじで,1
かるびつよ,1
選手強い,1
かるびいいよ！,1
かるび！？,1
ナイスかるび！,1
どまです,1
かるびいいぞ！,1
どまよ～,1
いいぞかるび,1
えらいぞかるび,1
パチンコ大当たり,1
かるび！,1
かるび強！,1
かるびが破壊してるわ,1
かるびつよい,1
かるび選手！,1
カルビつええ,1
かるびさん！,1
偉いカルビ,1
頑張れええ,1
選手すぎる,1
ないすうう！,1
ないすすう,1
やるやる！,1
すっげえ,1
選手〜！,1
NICEE,1
なぁああいす,1
ナイスナイスナイスぅー！,1
うああ～,1
姫の本領でたああ,1
みんな満遍なくキルしててすごい,1
かるび選手ないすないす,1
勢いのってけー,1
ないすないすー！,1
KOROSEE,1
素晴らしい,1
まじすごい,1
かるび強いぞー！,1
さぁマッチポイント,1
黒星つけてやろう,1
かるび選手凄くいい,1
これローレンのところ決勝来ないでほしいよな〜笑,1
引くのはやｗ,1
でかぁぁい！,1
バインドこんなに仕上げてきたのかよぉ；,1
デカすぎ,1
でっかああ,1
マジでいい,1
勝てる！,1
勝ったなガハハ,1
いいスピード！,1
すげぇー！,1
いけるいける！,1
勝つぞーー！,1
刺さりまくり良い良い良いい,1
ラプちゃんw,1
すーぱーチル,1
ACE?,1
ah.,1
カバーナイスすぎる,1
ガチ刺さりナイスー！,1
イントネーションえぐいって,1
ラプ様草,1
外人いた？,1
強気最高,1
あなたイニシうまいね〜,1
歯茎見せません,1
葛葉コール良いぞ！,1
とんでもないことが起こっていますよ！,1
スーパーチルww,1
ラプさまかわいいｗ,1
うぁぁ,1
ラプ様かわいいｗ,1
いけるよ！,1
当たるの気持ち～,1
勝ったな。風呂食ってくる。,1
おっと,1
ちょっとカタコトねぇ,1
おいおいおいおい最高や！,1
最高かよ,1
女だｗｗ,1
さっきラプラスさんえらいかった,1
最高の女きちゃ,1
見せました,1
最高の女だああ,1
葛葉IGLまじで合ってる,1
最高の女,1
瀕死のサイファーどこだｗ,1
最高の女きた,1
最高の女w,1
最高の女、かるび,1
あーかるび出ちゃった,1
最高の音？,1
最高の女ww,1
おもろすぎだろって,1
おんもしれーや！,1
これもう勝ち,1
選手最高やw,1
削ってくれたんだよねww,1
かるびは最高の女！,1
かるびは最高の女,1
おっけーggおやすみ,1
デコイ込みでワープか,1
うしろうしろｗ,1
大丈夫、人数有利,1
ナイスｗｗ,1
GO!,1
五条の勝ちだ…！,1
うっぜｗｗ,1
きたぁ,1
マジでいいウルトｗ,1
どりゃああ,1
うめぇｗｗ,1
レッツゴー,1
TUYO,1
ナイス！超良かった！,1
これつええｗｗ,1
指示w,1
ないーす！,1
ナイスうう！,1
ｗｗナイス～,1
ないすすぎー,1
ナイスすぎーー！,1
最高にヨル,1
背後霊で草,1
人間ドローンきちゃ,1
ヨルいいじゃん！,1
ナイスう！,1
ｇｇ,1
ウルトで追尾神だよw,1
バインドヨルありだな,1
奪ってやったすげー！,1
蜻蛉軍団最強！蜻蛉軍団最強！,1
ヨルいいな,1
ええやんええやんん！,1
よくやった！,1
この相手に勝つのマジ？,1
ナイスGG！,1
いいぞぉ！,1
ヨルのいいとこ出てたな～w,1
TBGWIN！,1
葛葉のヨルまじ最高w,1
あのもじもじ画面おもしろすぎたｗ,1
うんうんうんうん！,1
最高のてぃむ,1
ヨル最高,1
本来はカルビがするんだよね,1
これが正解だったか,1
水無瀬さんよかった,1
お前は最強のヨルだ,1
楽しかったぁぁ,1
メンタルコーチもいます,1
上からラプラスw,1
最高だったぞ,1
IGLさいきょう,1
１本取れたのでけえ,1
コールめっちゃ良くなってるしいいね～,1
これ勝てるのマジかよ,1
総帥いいな～ｗ,1
チームナイス！,1
上から目線ま？,1
すごいよ！,1
水無瀬さんフィジすごだった,1
連携できてる,1
みんなめっちゃいい,1
すごい！,1
ないすだよーー！,1
これかぁ,1
やったぜ～！,1
激アツ,1
嬉しいねー！,1
いいぞおお！,1
うぉーー！,1
あっっち,1
つけました！,1
いえーーい,1
葛葉声でてるのめちゃくちゃいいー！,1
ふぅー！,1
いぇーい！、,1
泥つけたぞおお,1
下剋上だ,1
凄くない,1
しかも苦手なバインドで！,1
泥あざす！,1
やったーー,1
葛葉コーラーで水無瀬がサブコーラーなのハマってて気持ちいい,1
うぇい〜,1
下馬評再会が！？,1
しかも、あのバインドで！？,1
よっしゃー！,1
やったー！,1
やった！,1
すご！,1
お、もいで,1
泥つけたぞお,1
すげーーよーー！,1
きもちいい！チームかっけー！,1
思い出には早い,1
うそみたいに・,1
このチームからの1勝デカい！,1
すげえよ,1
最高だよ,1
士気上がる,1
みんなえらい,1
まだ思い出にすなw,1
終わってないぞw,1
お笑い枠なんて言わせない,1
まてまてww,1
しかもバインド！,1
マジでよかった,1
早い早いw,1
嬉しいぃ！,1
まだまだww,1
終わってない終わってない,1
こっからだよ,1
まだなんだよぉ,1
明日明日ｗ,1
もう優勝でいいかw,1
お疲れ様ー！,1
自信もってこー,1
つけた！,1
実質優勝,1
終わり？w,1
二次会いくかw,1
スコア見せてや,1
V最たのしかったなあ〜！,1
ここに勝つの自信つくね,1
という事でね,1
優勝おめ二次会しよう,1
コールはくずはがよき,1
あれ今日が本番だった？,1
優勝したね,1
自信もってください〜！,1
本番？,1
決勝だった？,1
まだやねｗ,1
ここからw,1
うおおと！ナイス！,1
あちー！,1
優勝ッス,1
早いw,1
もう優勝ってことにするか,1
勝ち逃げか,1
嫌な気持ちにさせよう,1
ほな,1
逃げべ,1
ラプちゃんツッコミ良すぎ笑,1
まさかここに勝てるとは,1
勝ち逃げと,1
バインドの泥うまいかー？^,1
コールもヨルもないす！,1
今の本番か,1
ありがとうございましたw,1
明日もやるんだよ！,1
お笑い枠じゃないぞー！,1
自信になるね,1
いいチームだったなあ・,1
嬉しい,1
勝ち逃げするかw,1
優勝候補に勝ったぞ,1
本番嘘のようにボロ負けして第一部完のやつじゃない？w,1
明日本番w,1
なんだよこのチーム最高だろ,1
二次会いくべ,1
まじで葛葉の声凄いバフよ,1
これから二次会すべ,1
いい思い出にはなったw,1
勝ち逃げ草,1
破壊が正解やったんやw,1
